nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami' Mahabbaturrasul,Masjid,"Jl. Villa Bogor Indah 2, RT.01/RW.14, Kedunghalang, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16157",Buka 24 jam,"4,8",798,,Tidak Ada ,Tersedia,-6.5461951,106.8077637,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Agung Bogor,Masjid,"Jl. Nyi Raja Permas No.1, RT.04/RW.06, Cibogor, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124",04.00 hingga 21.15,"4,5",1.251,"
(0251) 8320461",Ada,Tidak Tersedia,-6.5933468,106.7916457,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Tazkia Islamic Center (d/h Andalusia),Masjid,"Jl. Ir H Juanda No.78, Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810",Buka 24 jam,"4,8",4.829,"
0815-1000-8899",Ada,Tersedia,-6.5685157,106.8467604,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami' As-Sofia,Masjid,"Jl. Re. Martadinata, RT.01/RW.11, Ciwaringin, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16162",03.00 hingga 22.00,"4,9",1.893,"
0811-1226-242",Ada,Tidak Tersedia,-6.5826202,106.7881913,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Raya Al-Mi'raj,Masjid,"Jl. Raya Pajajaran No.10, RT.02/RW.6, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143","04.30 hingga 05.00,11.00 hingga 13.00,15.00 hingga 15.30,18.00 hingga 18.30,19.00 hingga 19.30","4,8",4.717,,Tidak Ada ,Tidak Tersedia,-6.6071805,106.8085741,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami' Asy Syifa - RS PMI Bogor,Masjid,"CR24+HRX, Rumah Sakit PMI, JL. Raya Pajajaran, Tegallega Bogor Timur, RT.02/RW.05, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129",Buka 24 jam,"4,6",256,,Tidak Ada ,Tidak Tersedia,-6.5985125,106.8071094,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid At-Taufiq,Masjid,"Jl. Paledang No.44, RT.04/RW.07, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122",04.00 hingga 20.30,"4,8",646,,Tidak Ada ,Tidak Tersedia,-6.6015902,106.7936161,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Ghozi Bogor,Masjid,"Jl. Palem Raya Jl. Ring Road Taman Yasmin No.V, RT.04/RW.10, Curugmekar, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16113",Buka 24 jam,"4,8",349,,Tidak Ada ,Tidak Tersedia,-6.5616606,106.7678521,Aksesibilitas Tersedia,[]
Masjid Al-Hurriyyah,Masjid,"Kampus IPB, Gd. Al Hurriyyah, Jl. Agatis No.1 Lt. 1, Babakan, Kec. Dramaga, Kabupaten Bogor, Jawa Barat 16680",Buka 24 jam,"4,8",2.061,"
(0251) 8621746",Ada,Tersedia,-6.5556053,106.7254153,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Nurul Maa'i (PDAM Tirta Pakuan),Masjid,"Jl. Siliwangi No.60, RT.07/RW.02, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16134",04.00 hingga 20.00,"4,8",646,,Tidak Ada ,Tidak Tersedia,-6.6207648,106.8157727,Aksesibilitas Tersedia,[]
