nama_tempat,alamat,rating,jumlah_review,stt_tlp,website,latitude,longitude,aksesibilitas,type_place_clean,kota_kabupaten,is_24_hours,open_time,close_time,operational_status,telepon_clean,skor_aksesibilitas,Label_akses
Masjid Al-Jihad Universitas Padjadjaran,"Jl. Dipati Ukur No.35, Kecamatan Coblong","4,6",584.0,Ada,Tidak Tersedia,-6.8922128,107.6166596,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,222512192.0,0,Tidak Tersedia
Masjid Al-Amanah,"Jl. Ruhana No.6, Kec. Lengkong","4,8",67.0,Tidak Ada,Tidak Tersedia,-6.9240612,107.6140377,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Baitul Ilmi BRIN Bandung,"Jl. Sangkuriang, Kecamatan Coblong","4,7",271.0,Tidak Ada,Tidak Tersedia,-6.8820692,107.6107097,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Menara Masjid Raya Bandung,"Jl. Dalem Kaum, Kec. Regol","4,5",515.0,Tidak Ada,Tersedia,-6.9214028,107.6067059,['Memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,False,10:00,16:00,Normal,,1,Aksesibilitas Terbatas
Masjid Dzarratul Ulum Batan Bandung,"Jl. Tamansari, Kecamatan Coblong","4,9",118.0,Tidak Ada,Tidak Tersedia,-6.8885852,107.6078735,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Subulussalam,Kec. Kiaracondong,"4,5",31.0,Ada,Tidak Tersedia,-6.9094788,107.6456403,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,83820585095.0,0,Tidak Tersedia
Masjid Al Mukhlisin,"Jl. Jakarta No.20 22 Komplek, Kec. Batununggal","4,8",160.0,Tidak Ada,Tersedia,-6.9153392,107.6366766,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Ar Rahman Haur Kuning Bandung,"Jl. Haurkuning, Kec. Sumur Bandung","5,0",43.0,Tidak Ada,Tidak Tersedia,-6.9213475,107.6154329,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Al Hikmah,"Jl. Purnawarman No.7d, Kec. Sumur Bandung","4,7",59.0,Tidak Ada,Tidak Tersedia,-6.909416,107.6093677,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Jami Al - Mubarok,"Jl. Awi Bitung, Kec. Cibeunying Kidul","4,6",30.0,Tidak Ada,Tidak Tersedia,-6.9081209,107.6385076,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Latif,"Jl. Maleer IV No.36a, Kec. Batununggal","4,9",50.0,Tidak Ada,Tidak Tersedia,-6.9276633,107.6395952,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Jihad,"Jl. Garut No.1A, Kec. Batununggal","4,6",40.0,Tidak Ada,Tidak Tersedia,,,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Mu'min,Kec. Cicendo,"4,7",94.0,Tidak Ada,Tidak Tersedia,-6.9133275,107.6017315,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid As Syuhada,"Jl. Brigadir Jend. Katamso No.15a, Kec. Cibeunying Kidul","4,8",63.0,Tidak Ada,Tidak Tersedia,-6.9054412,107.6313682,,Masjid,Kota Bandung,False,04:00,22:00,Tidak konsisten,,0,Tidak Tersedia
Masjid Al- Qona'ah,"Jl. SD Muararajeun No.1, Kec. Cibeunying Kaler","4,6",62.0,Tidak Ada,Tidak Tersedia,-6.9017013,107.6305743,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
MASJID AL-IMTIYAAZ,"Jl. Anggrek Boulevard Jl. Khp Hasan Mustopa No.39-40, Kec. Cibeunying Kidul","4,7",783.0,Tidak Ada,Tersedia,-6.8993463,107.6526355,,Masjid,Kota Bandung,False,05:07,18:30,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Azhar,"Jl. Bakti No.29, Kec. Sukajadi","4,8",321.0,Tidak Ada,Tidak Tersedia,-6.892345,107.5995916,,Masjid,Kota Bandung,False,04:00,21:15,Normal,,0,Tidak Tersedia
Masjid Jami An Nuur,"Jl. Cikaso Sel. Gg. Bahagia, Kec. Cibeunying Kidul","4,7",48.0,Tidak Ada,Tidak Tersedia,-6.9113763,107.6342609,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Raya Al Ihsan Darul Hikam,"Jl. Ir. H. Juanda No.283, Kecamatan Coblong","4,8",739.0,Tidak Ada,Tersedia,-6.8791778,107.6162265,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
