nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Nurul Islam KH Noer Alie Islamic Center Bekasi,Masjid,"QX3V+JHV, RT.005/RW.002, Marga Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17141",Buka 24 jam,"4,7",541,,Tidak Ada ,Tidak Tersedia,-6.2458944,106.9939234,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami An-Nur,Masjid,"Jl. Sultan Agung No.9, RT.002/RW.015, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17135",02.58 hingga 00.00,"4,7",845,,Tidak Ada ,Tidak Tersedia,-6.2237907,106.9778761,Aksesibilitas Tersedia,[]
Masjid Al-Iman,Masjid,"Jl. Pepaya I No.20, RT.008/RW.005, Kota Baru, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17133",Buka 24 jam,"4,8",101,,Tidak Ada ,Tidak Tersedia,-6.2107201,106.9686736,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Mubaarok Bekasi,Masjid,"Jl. P.Jawa Dalam No.212, Perumnas 3, RT.002/RW.013, Aren Jaya, Bekasi Timur, Bekasi, West Java 17111",Buka 24 jam,"4,7",36,"
0812-8344-3434",Ada,Tidak Tersedia,-6.2448031,107.0307748,Aksesibilitas Tersedia,[]
Masjid Jami Al Muhajirin,Masjid,"Perumnas Jl. Komodo Raya No.1, RT.006/RW.004, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144",04.00 hingga 21.15,"4,8",722,,Tidak Ada ,Tidak Tersedia,-6.2339472,106.9814394,Aksesibilitas Tersedia,[]
"Masjid Jami' Al Iman Narogong, Bekasi",Masjid,"Jl. Narogong Permai IC, RT.09/RW.007, Pengasinan, Kec. Rawalumbu, Kota Bks, Jawa Barat 17115",04.00 hingga 20.00,"4,9",143,"
0858-9374-4592",Ada,Tersedia,-6.2765213,107.0072211,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Raya At-Taqwa Rawalumbu,Masjid,"Masjid Raya At-Taqwa, Rawalumbu, Jemb. 11, Jl. Lumbu Utara Raya Jembatan 11 No.2, RT.005/RW.019, Bojong Rawalumbu, Kec. Rawalumbu, Kota Bks, Jawa Barat 17116",03.00 hingga 22.00,"4,8",892,,Tidak Ada ,Tersedia,-6.2849845,106.9998276,Aksesibilitas Tersedia,[]
Masjid Al-Anshor,Masjid,"QX5J+W89, Jl. Arjuna Raya, RT.008/RW.022, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148",04.00 hingga 21.30,"4,8",124,,Tidak Ada ,Tidak Tersedia,-6.2402061,106.9808688,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami' Al-Ma'mur,Masjid,"Jl. Raya Kp. Setu No.3, RT.001/RW.002, Bintara Jaya, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17136",Buka 24 jam,"4,7",149,,Tidak Ada ,Tidak Tersedia,-6.2413826,106.9556208,Aksesibilitas Tersedia,[]
Masjid Jami' Al-muawanah,Masjid,"QXJ7+GFQ, Jl. Kali Baru Barat, RT.007/RW.011, Kota Baru, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17133",Buka 24 jam,"4,7",242,,Tidak Ada ,Tidak Tersedia,-6.2186512,106.9637389,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Insan Kamil Mosque,Masjid,"Jl. KH. Agus Salim No.96, RT.001/RW.006, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112",04.00 hingga 21.30,"4,8",530,,Tidak Ada ,Tidak Tersedia,-6.235917,107.0065925,Aksesibilitas Tersedia,[]
Masjid Ar Raudhah,Masjid,"QXVX+V33, Jl. Pesona Anggrek Harapan, RT.012/RW.027, Harapan Jaya, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17124",04.00 hingga 22.00,"4,8",212,,Tidak Ada ,Tidak Tersedia,-6.2053585,106.9976873,Aksesibilitas Tersedia,[]
Masjid AT TAQWA Bekasi,Masjid,"Jl. Cut Mutia No.43, RT.001/RW.009, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113",Buka 24 jam,"4,8",14,,Tidak Ada ,Tidak Tersedia,-6.2499774,107.013693,Aksesibilitas Tersedia,[]
Masjid Jami' Arrahmah,Masjid,"Q292+8C3, Jalan Pintu Air , kampung asem, Jl. Tlk. Buyung, RT.001/RW.011, Marga Mulya, Kota Bks, Jawa Barat",,"4,7",54,,Tidak Ada ,Tidak Tersedia,-6.2317375,107.0010353,Aksesibilitas Tersedia,[]
Masjid Raya Muhammad Ramadhan,Masjid,"PXMF+6MX Masjid Moh. Ramadhan, Jl. Pulo Ribung No.2, RT.010/RW.013, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148",04.00 hingga 21.30,"4,8",785,,Tidak Ada ,Tidak Tersedia,-6.266905,106.9742845,Aksesibilitas Tersedia,[]
Masjid Al-Falah Perumahan Bekasi Permai Kota Bekasi,Masjid,"Jl. Bekasi Permai VII No.15, RT.004/RW.015, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112",,"4,8",90,,Tidak Ada ,Tidak Tersedia,-6.2290181,107.0128382,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
