nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Al-Kautsar,Masjid,"Taman Kanak-Kanak Islam Al-Kautsar, Jl. Raya Cikoneng No.312, RT.01/RW.04, Cikoneng, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261",04.00 hingga 22.00,"4,7",168,,Tidak Ada ,Tidak Tersedia,-7.3095667,108.2670316,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al Mansur,Masjid,"jln. gegempalan .Dsn.babakan. 46261, Cikoneng, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat 46261",,"4,8",11,,Tidak Ada ,Tidak Tersedia,-7.3159543,108.2758121,Aksesibilitas Tersedia,[]
Masjid Al-muhtar,Masjid,"V68R+8M8, dusun kaliaren desa, Banjarangsana, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46263",Buka 24 jam,"4,7",9,,Tidak Ada ,Tidak Tersedia,-7.1342022,108.2416961,Aksesibilitas Tersedia,[]
Masjid Agung Desa Gunungsari,Masjid,"P8W6+42R, Jl. Gn. Sari, Gunungsari, Kec. Sadananya, Kabupaten Ciamis, Jawa Barat 46256",,"4,6",21,,Tidak Ada ,Tidak Tersedia,-7.2546448,108.3100107,Aksesibilitas Tersedia,[]
Masjid Jami At-Taqwa Sindanghurip,Masjid,"V69G+HVF, Sindangmukti, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46263",,"4,6",18,"
0878-3006-0469",Ada,Tidak Tersedia,-7.1310746,108.2271829,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Babussalam,Masjid,"Jl. Bojonghuni, Maleber, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46214",,"4,9",11,,Tidak Ada ,Tidak Tersedia,-7.3203306,108.3406479,Aksesibilitas Tersedia,[]
Masjid Besar Baitul Huda Rajadesa,Masjid,"RC8M+VR6, Jalan Raya, Sirnabaya, Rajadesa, Ciamis Regency, West Java 46254",Buka 24 jam,"4,7",367,"
0882-1492-7379",Ada,Tidak Tersedia,-7.1828468,108.4345165,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Al Falah,Masjid,"W77P+GMH, Jl. Banyuhurip, Cibeureum, Kec. Sukamantri, Kabupaten Ciamis, Jawa Barat 46264",,"5,0",11,,Tidak Ada ,Tidak Tersedia,-7.0861813,108.2867191,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Mesjid At Taqwa,Masjid,"M8PP+MV3, Kereteg, Mekarjadi, Sadananya, Mekarjadi, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46256",Buka 24 jam,"4,6",21,,Tidak Ada ,Tidak Tersedia,-7.3133716,108.3371739,Aksesibilitas Tersedia,[]
Masjid Jamie Al - Ikhlas,Masjid,"RT.04 rw02/RW.Banjarpinang, Jayagiri, Kec. Panumbangan, Kabupaten Ciamis, Jawa Barat 46258",,"4,6",27,"
0877-4560-2874",Ada,Tidak Tersedia,-7.1427503,108.244255,Aksesibilitas Tersedia,[]
