nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Unknown,Unknown,,,,,,Tidak Ada ,Tidak Tersedia,-6.802796,107.172863,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Jabbar Cibinong,Masjid,"M47M+G3P, Sukajadi, Kec. Cibinong, Kabupaten Cianjur, Jawa Barat 43271",Buka 24 jam,"4,6",100,,Tidak Ada ,Tidak Tersedia,-7.3361558,107.132708,Aksesibilitas Tersedia,[]
Masjid Al Asykar,Masjid,"55W4+JH9, Jl. Aria Wiratanudatar, Sukataris, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",,"4,6",173,,Tidak Ada ,Tidak Tersedia,-6.8034548,107.1564899,Aksesibilitas Tersedia,[]
"Masjid Al-Muchtar, Rest Area Cianjur",Masjid,"Haurwangi, Kec. Haurwangi, Kabupaten Cianjur, Jawa Barat 43283",Buka 24 jam,"4,1",80,,Tidak Ada ,Tidak Tersedia,-6.8261664,107.3216733,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Kubro,Masjid,"Jl. Nasional 11 No.94, Bojongherang, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",Buka 24 jam,"4,7",9,,Tidak Ada ,Tidak Tersedia,-6.8145897,107.1313479,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Muchtar,Masjid,"Cimapag, RT 03 RW 03, Campaka, Cidadap, Cianjur, Kabupaten Cianjur, Jawa Barat 43263",Buka 24 jam,"4,7",135,,Tidak Ada ,Tidak Tersedia,-7.0167753,107.1381361,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al - Mahdiyun,Masjid,"55V6+4PP, Hilir, RT.01/RW.07, Sabandar, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",Buka 24 jam,"4,8",22,,Tidak Ada ,Tidak Tersedia,-6.8071653,107.1618139,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' Assadah,Masjid,"54PG+JQX, Jl. Limbangansari, Limbangansari, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",Buka 24 jam,"5,0",14,,Tidak Ada ,Tidak Tersedia,-6.8133839,107.1269825,Aksesibilitas Tersedia,[]
Masjid Al-Ikhlas (Markas Dakwah Cianjur),Masjid,"Legok Al-ikhlas, Sukamanah, Kec. Cugenang, Kabupaten Cianjur, Jawa Barat 43211",Buka 24 jam,"4,8",105,,Tidak Ada ,Tidak Tersedia,-6.8053734,107.1185685,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al-Muslimun,Masjid,"54VV+FR5, Muka, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43215",,"4,4",24,,Tidak Ada ,Tidak Tersedia,-6.8063568,107.1446029,Aksesibilitas Tersedia,[]
