nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Al Mujahidin,Masjid,"Gintung Tengah, Gintung Lor, Kec. Susukan, Kabupaten Cirebon, Jawa Barat 45166",Buka 24 jam,"4,6",16,,Ada,Tidak Tersedia,-6.6508147,108.383578,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Al Hidayah Ciwaringin,Masjid,"894F+4Q6, Ciwaringin, Kec. Ciwaringin, Kabupaten Cirebon, Jawa Barat 45167",,"4,6",145,,Tidak Ada ,Tidak Tersedia,-6.6947218,108.3743924,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Furqon,Masjid,"Purwawinangun, Kec. Suranenggala, Kabupaten Cirebon, Jawa Barat 45152",Buka 24 jam,"4,7",20,,Tidak Ada ,Tidak Tersedia,-6.6506236,108.5315705,Aksesibilitas Tersedia,[]
Masjid Sirathal Mustaqim,Masjid,"Ciperna, Kec. Talun, Kabupaten Cirebon, Jawa Barat 45171",Buka 24 jam,"4,9",586,,Tidak Ada ,Tidak Tersedia,-6.7668258,108.5261665,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Maslicha,Masjid,"Jl. Angsana Raya No.127, Cirebon Girang, Kec. Talun, Kabupaten Cirebon, Jawa Barat 45171",Buka 24 jam,"4,8",98,,Tidak Ada ,Tidak Tersedia,-6.7633828,108.5142934,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Ahlak,Masjid,"8CW4+C2M, Kebonturi, Kec. Arjawinangun, Kabupaten Cirebon, Jawa Barat 45162",Buka 24 jam,"4,8",48,,Tidak Ada ,Tidak Tersedia,-6.6539057,108.405039,Aksesibilitas Tersedia,[]
Masjid Jakatawa Lama,Masjid,"8H44+5PP, Pasindangan, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45121",,"4,8",72,,Tidak Ada ,Tidak Tersedia,-6.6945486,108.5568131,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Manshuroh,Masjid,"6HX8+7VR, Jl. GN Lawu, Larangan, Kec. Harjamukti, Kota Cirebon, Jawa Barat",Buka 24 jam,"4,7",114,,Tidak Ada ,Tidak Tersedia,-6.7517644,108.5671409,Aksesibilitas Tersedia,[]
Masjid Baitul Muttaqin,Masjid,"Indramayu-Cirebon Ra No.171, Klayan, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45151",Buka 24 jam,"4,8",23,,Tidak Ada ,Tidak Tersedia,-6.6803743,108.5418136,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Raudlatul Muttaqien,Masjid,"7CRM+FJ8, Palimanan Tim., Kec. Palimanan, Kabupaten Cirebon, Jawa Barat 45161",Buka 24 jam,"4,7",176,,Tidak Ada ,Tidak Tersedia,-6.7088499,108.4340816,Aksesibilitas Tersedia,[]
Masjid At-Ta'awun,Masjid,"Jl. Ketilang Raya No.39, Larangan, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45141",Buka 24 jam,"4,7",41,,Tidak Ada ,Tidak Tersedia,-6.7388123,108.5666064,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Nurul Hasanah,Masjid,"8H53+QPW, Pasidangan, Cirebon Utara, Pasindangan, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45151",Buka 24 jam,"4,7",26,,Tidak Ada ,Tidak Tersedia,-6.6905229,108.5543169,Aksesibilitas Tersedia,[]
Masjid ABU HURAIRAH,Masjid,"Jl. Bougenville VII No.87, Tukmudal, Kec. Sumber, Kabupaten Cirebon, Jawa Barat 45611",,"4,5",42,,Tidak Ada ,Tidak Tersedia,-6.7564942,108.4736864,Aksesibilitas Tersedia,[]
Masjid Jami Al Karomah,Masjid,"7CCJ+75R, Panongan, Kec. Palimanan, Kabupaten Cirebon, Jawa Barat 45161",,"4,8",30,,Tidak Ada ,Tidak Tersedia,-6.7292736,108.4303946,Aksesibilitas Tersedia,[]
Masjid Darul Ulum,Masjid,"Jl. Cideng Raya No.194e, Kertawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",,"4,5",38,,Tidak Ada ,Tidak Tersedia,-6.7173681,108.534352,Aksesibilitas Tersedia,[]
Masjid Assalaam Mangkuraga,Masjid,"7FH6+XG5, Lurah, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",,"4,8",17,,Tidak Ada ,Tidak Tersedia,-6.7201212,108.4613561,Aksesibilitas Tersedia,[]
Masjid Jami Nurussobah,Masjid,"7GW4+GRC, Weru Lor, Kec. Weru, Kabupaten Cirebon, Jawa Barat 45154",,"4,9",49,,Tidak Ada ,Tidak Tersedia,-6.7036791,108.5070062,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Bani Ma'mun Sirnabaya,Masjid,"8CQ8+Q98, Kebonturi, Kec. Arjawinangun, Kabupaten Cirebon, Jawa Barat 45162",,"4,9",70,,Tidak Ada ,Tidak Tersedia,-6.6605838,108.4159381,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Mu'tamarul Huda,Masjid,"Jl. Kisabalanang Desa No.344, Bode Lor, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",,"4,8",203,,Tidak Ada ,Tidak Tersedia,-6.716951,108.4904968,Aksesibilitas Tersedia,[]
Masjid Jami Al Munawwarah Gempol Cirebon,Masjid,"Jl. Leuwimunding-Palimanan No.140, Palimanan Bar., Kec. Gempol, Kabupaten Cirebon, Jawa Barat 45161",,"4,7",99,,Tidak Ada ,Tidak Tersedia,-6.705338,108.4165178,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
