nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Mahbatun Nuur,Masjid,"No Jl. Gumuruh No.21, Gumuruh, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",Buka 24 jam,"4,6",28,,Ada,Tidak Tersedia,-6.9310971,107.6392717,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Ash Shofiyan,Masjid,"RXVV+W8V, Cimaragas, Kec. Pangatikan, Kabupaten Garut, Jawa Barat 44183",Buka 24 jam,"4,9",60,,Tidak Ada ,Tidak Tersedia,-7.1551419,107.9933058,Aksesibilitas Tersedia,[]
Masjid Al-MA'MUR,Masjid,"3J8R+F39, Jl. Binong Jati, RT.05/RW.04, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",,"4,9",11,"
(022) 7330339",Ada,Tidak Tersedia,-6.9338304,107.6402381,Aksesibilitas Tersedia,[]
Masjid Besar Kaum Tarogong,Masjid,"Jl. Otista No.150, Cimanganten, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat 44151",Buka 24 jam,"4,7",584,,Tidak Ada ,Tidak Tersedia,-7.1900265,107.8890229,Aksesibilitas Tersedia,[]
Masjid Agung Trans Studio,Masjid,"Pusat Terpadu Transtudio, Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Buka 24 jam,"4,8",16.084,"
(022) 87342502",Ada,Tersedia,-6.9259359,107.6354559,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami Al-Furqon,Masjid,"WV6C+HGF, Rancasalak, Kec. Kadungora, Kabupaten Garut, Jawa Barat 44153",,"4,5",53,"
0822-7273-2526",Ada,Tidak Tersedia,-7.0885582,107.8712843,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Ikhlasuniah Komplek Dolog,Masjid,"3J8R+MQJ, Komp. Dolog, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",,"4,6",45,"
0895-0409-1527",Ada,Tidak Tersedia,-6.9332798,107.6418822,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Syi'arul Muslimin Kadungora,Masjid,"Jl. Raya Rancaekek - Garut No.72, Kadungora, Kec. Kadungora, Kabupaten Garut, Jawa Barat 44153",Buka 24 jam,"4,7",37,,Tidak Ada ,Tidak Tersedia,-7.0786235,107.8984609,Aksesibilitas Tersedia,[]
Masjid Babussalam Garut,Masjid,"W2WC+PW2, Nanjungjaya, Kec. Kersamanah, Kabupaten Garut, Jawa Barat 44185",Buka 24 jam,"4,7",2.588,,Tidak Ada ,Tidak Tersedia,-7.0532264,108.0222753,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Baitul Halim,Masjid,"Jl. Kb. Gedang No.71, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9279081,107.6418031,Aksesibilitas Tersedia,[]
Masjid Jami Al Ikhlas,Masjid,"XX6R+H54, Limbangan Timur, Kec. Balubur Limbangan, Kabupaten Garut, Jawa Barat 44186",Buka 24 jam,"4,6",93,,Tidak Ada ,Tidak Tersedia,-7.0386006,107.9904502,Aksesibilitas Tersedia,[]
Masjid Al-Lathiifurrohmah,Masjid,"3J9V+QPF, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat",04.00 hingga 21.15,"5,0",1,"
0823-2032-8222",Ada,Tidak Tersedia,-6.9305629,107.644283,Aksesibilitas Tersedia,[]
Masjid Hujung,Masjid,"VVWH+HM4, Cipancar, Kec. Leles, Kabupaten Garut, Jawa Barat 44152",,"4,7",37,,Tidak Ada ,Tidak Tersedia,-7.1036085,107.8792087,Aksesibilitas Tersedia,[]
Masjid Al Huda Gang Nata,Masjid,"Jl. Ibrahim Adjie Gg. Nata, RT.08/RW.04, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",,"4,6",25,,Tidak Ada ,Tidak Tersedia,-6.9343112,107.6408353,Aksesibilitas Tersedia,[]
Masjid Al Muhajir,Masjid,"Jl. Kb. Gedang No.01/07, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9286422,107.6421703,Aksesibilitas Tersedia,[]
MASJID AL-MUMIN,Masjid,"3J8V+P4R, Gg. Binong Kulon X, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",04.00 hingga 20.30,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.9331462,107.6427522,Aksesibilitas Tersedia,[]
Masjid Nurul Qomar,Masjid,"Jl. Wulan No.5, Kb. Gedang, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",04.30 hingga 20.00,"4,6",36,,Tidak Ada ,Tidak Tersedia,-6.9244137,107.6425544,Aksesibilitas Tersedia,[]
Masjid Ash Shiddiq,Masjid,"Jl. Kb. Gedang, RT.02/RW.10, Maleer, Bandung, Kota Bandung, Jawa Barat 40274",04.00 hingga 21.30,"4,8",236,"
0821-1706-5589",Ada,Tidak Tersedia,-6.93031,107.6424001,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Latif,Masjid,"Jl. Maleer IV No.36a, RT.4/RW.2, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"4,9",50,,Tidak Ada ,Tidak Tersedia,-6.9276633,107.6395952,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
