nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Madania,Masjid,"M88C+HM3, Sindang, Kec. Sindang, Kabupaten Indramayu, Jawa Barat 45222",Buka 24 jam,"4,8",115,,Ada,Tidak Tersedia,-6.3336001,108.3216724,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Baiturrahman,Masjid,"J8RF+FV7, Goklat, Pekandangan, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat 45216",Buka 24 jam,"4,6",92,,Tidak Ada ,Tidak Tersedia,-6.3588302,108.3246829,Aksesibilitas Tersedia,[]
Masjid Jami At - Taqwa,Masjid,"G42X+GMQ, Jl. Raya Sumurwatu, Jatimulya, Kec. Terisi, Kabupaten Indramayu, Jawa Barat 45262",Buka 24 jam,"4,7",87,,Tidak Ada ,Tidak Tersedia,-6.4986642,108.1492298,Aksesibilitas Tersedia,[]
Masjid Jami Baitul Muslimin,Masjid,"G57J+37W, Jl. Terisi - Cikedung, Cikedung, Kec. Cikedung, Kabupaten Indramayu, Jawa Barat 45262",Buka 24 jam,"4,9",36,,Tidak Ada ,Tidak Tersedia,-6.4872648,108.1807156,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Barkah,Masjid,"Bojongsari, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat 45214",,"4,9",20,,Tidak Ada ,Tidak Tersedia,-6.3401094,108.3193457,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Al Muttaqin,Masjid,"J2MF+QR6, Kertamulya, Kec. Bongas, Kabupaten Indramayu, Jawa Barat 45255",04.00 hingga 20.00,"4,7",41,"
0895-1933-8666",Ada,Tidak Tersedia,-6.3655812,108.0245244,Aksesibilitas Tersedia,[]
Masjid At-Taqwa,Masjid,"Jl. Tambak Raya No.10, Lemahmekar, Kec. Indramayu, Kabupaten Indramayu, Jawa Barat 45212",Buka 24 jam,"4,9",11,,Tidak Ada ,Tidak Tersedia,-6.3323776,108.3408071,Aksesibilitas Tersedia,[]
Masjid Jami Miftahul Huda,Masjid,"H6RR+WRG, By Pass Langut, Lohbener, Langut, Indramayu, Kabupaten Indramayu, Jawa Barat 45252",Buka 24 jam,"4,8",399,"
0852-2400-8321",Ada,Tersedia,-6.4076755,108.242071,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-A'Dhom Tulungagung,Masjid,"F952+RQX, Kertasemaya, Tulungagung, Indramayu, Kabupaten Indramayu, Jawa Barat 45274",,"4,6",333,,Tidak Ada ,Tidak Tersedia,-6.5403763,108.3519791,Aksesibilitas Tersedia,[]
"Masjid Jami' Baitut Taqwa, Gribig Lempuyang",Masjid,"JXCG+85M, Gribig, Lempuyang, Kec. Anjatan, Kabupaten Indramayu, Jawa Barat 45256",Buka 24 jam,"4,9",26,"
0853-2439-9333",Ada,Tidak Tersedia,-6.379151,107.9754296,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
