nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Ar-Rahmah,Masjid,"M8FW+H99, Jl. Perum Citra Kebun Mas, Bengle, Kec. Majalaya, Karawang, Jawa Barat 41371",Buka 24 jam,"4,8",324,,Tidak Ada ,Tidak Tersedia,-6.325179,107.3495739,Aksesibilitas Tersedia,[]
Masjid jami Al-Hidayah,Masjid,"M86R+8Q9, Jl. Citra Kebun Mas, Kondangjaya, Kec. Karawang Tim., Karawang, Jawa Barat 41371",Buka 24 jam,"4,5",29,,Tidak Ada ,Tidak Tersedia,-6.3392212,107.3419923,Aksesibilitas Tersedia,[]
Masjid Besar Nurul Anwar,Masjid,"M7VW+8WX, Jl. Rm Soleh, Nagasari, Kec. Karawang Bar., Karawang, Jawa Barat 41312",Buka 24 jam,"4,8",270,,Tidak Ada ,Tidak Tersedia,-6.3066329,107.2973638,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Jihad Karawang,Masjid,"P72X+H8Q Natural Tengah, Jl. Jenderal Ahmad Yani, Karangpawitan, Kec. Karawang Bar., Karawang, Jawa Barat 41315",Buka 24 jam,"4,7",1.997,,Ada,Tidak Tersedia,-6.2985372,107.2983683,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Raya Al-Kasiah,Masjid,"J9R2+CP4, Klari, Kec. Klari, Karawang, Jawa Barat 41371",Buka 24 jam,"4,7",456,,Tidak Ada ,Tidak Tersedia,-6.3589928,107.3518162,Aksesibilitas Tersedia,[]
Masjid Al Barokah Perumahan Karawang Jaya,Masjid,"M82X+F9G Perumahan Karawang Jaya, Desa, Gintungkerta, Kec. Klari, Karawang, Jawa Barat 41371",Buka 24 jam,"4,7",71,,Tidak Ada ,Tidak Tersedia,-6.3488126,107.3484646,Aksesibilitas Tersedia,[]
Masjid Jami' Nurul Islam,Masjid,"M84R+3PP, Jl. Raya Klari, Anggadita, Kec. Klari, Karawang, Jawa Barat 41371",Buka 24 jam,"4,7",80,,Tidak Ada ,Tersedia,-6.3447877,107.3418344,Aksesibilitas Tersedia,[]
Masjid Jami' Baiturrahman,Masjid,"Perumnas Jl. Cisokan Raya No.1 2, RT.2/RW.12, West Adiarsa, West Karawang, Karawang, West Java 41311",Buka 24 jam,"4,8",141,,Tidak Ada ,Tidak Tersedia,-6.3204228,107.3096972,Aksesibilitas Tersedia,[]
Masjid Jami' Nurul Falah,Masjid,"W7GW+HJ9, Desa Jl. Raya Bolang, RT.010/RW.003, Dusun Krajan, Bolang, Kec. Tirtajaya, Karawang, Jawa Barat 41357",Buka 24 jam,"4,4",51,,Tidak Ada ,Tidak Tersedia,-6.0734964,107.2961192,Aksesibilitas Tersedia,[]
Masjid Jami An-Nur Karawang,Masjid,"P7GM+CWR, Jl. Lingkar Tanjungpura, Tanjungmekar, Kec. Karawang Bar., Karawang, Jawa Barat 41316",Buka 24 jam,"4,7",746,,Tidak Ada ,Tidak Tersedia,-6.2739,107.2847664,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Jami Aliyah,Masjid,"Jl. International Karawang Barat No.Km 03, Wadas, Telukjambe Timur, Karawang, Jawa Barat 41361",Buka 24 jam,"4,8",3.216,,Ada,Tidak Tersedia,-6.3215993,107.2716724,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Falah,Masjid,"P74R+CW5, Kp.bubulak sauyunan, RT.04/rw08, Tanjungpura, Kec. Karawang Bar., Karawang, Jawa Barat 41316",Buka 24 jam,"4,8",43,,Tidak Ada ,Tidak Tersedia,-6.2939937,107.2923468,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Huda Grand Taruma,Masjid,"M7VP+M67, Sukamakmur, Telukjambe Timur, Karawang, Jawa Barat 41361",Buka 24 jam,"4,8",191,,Tidak Ada ,Tidak Tersedia,-6.3058368,107.2855458,Aksesibilitas Tersedia,[]
Masjid At-Taubah Rest Area KM 57A Jakarta-Cikampek,Masjid,"Rest Area Km. 57 , Tol Cikampek, Kec. Klari, Karawang, Jawa Barat 41371",,"4,7",7.125,,Tidak Ada ,Tidak Tersedia,-6.3676978,107.3614454,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami Al Barkah,Masjid,"V8C9+QW7, Jl. Raya Kemiri, Kemiri, Kec. Jayakerta, Karawang, Jawa Barat 41352",Buka 24 jam,"4,6",55,,Tidak Ada ,Tidak Tersedia,-6.1280863,107.3197937,Aksesibilitas Tersedia,[]
Masjid Jami Al-Falah,Masjid,"H9Q2+25Q, Kutanegara, Kec. Ciampel, Karawang, Jawa Barat 41363",Buka 24 jam,"4,7",38,,Tidak Ada ,Tidak Tersedia,-6.4124133,107.3504983,Aksesibilitas Tersedia,[]
Masjid Jami' Baiturrohman,Masjid,"Jl. Proklamasi No.20, Tanjungmekar, Kec. Karawang Bar., Karawang, Jawa Barat 41316",Buka 24 jam,"4,9",101,,Ada,Tersedia,-6.2672615,107.2782581,Aksesibilitas Tersedia,[]
Masjid Agung Syekh Quro Karawang,Masjid,"Jl. Alun-Alun Utara, Karawang, Kec. Cikole, Kota Sukabumi, Jawa Barat 41311",04.00 hingga 22.00,"4,7",1.140,"
(0267) 401001",Ada,Tersedia,-6.310403,107.292437,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
