nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Baitul Mu'Miniin,Masjid,"2HJ7+C88, Dukuhdalem, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591",,"4,8",22,,Tidak Ada ,Tidak Tersedia,-6.9689533,108.5633187,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Furqan,Masjid,"Jl. Melati Raya No.236, Ciporang, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45514",Buka 24 jam,"4,8",41,,Tidak Ada ,Tidak Tersedia,-6.9683901,108.5052677,Aksesibilitas Tersedia,[]
Masjid Hidayatul Faishol,Masjid,"2C7M+92M, Ciherang, Kec. Kadugede, Kabupaten Kuningan, Jawa Barat 45561",Buka 24 jam,"4,9",38,,Tidak Ada ,Tidak Tersedia,-6.9865438,108.4325455,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Nurul Islam Karangtawang,Masjid,"2G55+4Q4, Karangtawang, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45515",,"4,8",161,,Tidak Ada ,Tidak Tersedia,-6.9922488,108.5094466,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Muttaqin,Masjid,"2F9P+WXC, Awirarangan, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45511",,"4,7",31,,Tidak Ada ,Tidak Tersedia,-6.9801996,108.4873934,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Agung Ancaran,Masjid,"2GJ7+7XC, Jl. Ancaran, Ancaran, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45514",Buka 24 jam,"4,6",221,,Tidak Ada ,Tidak Tersedia,-6.9693163,108.5149059,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Baiturrahman,Masjid,"XCQ9+M25, Jagara, Kec. Darma, Kabupaten Kuningan, Jawa Barat 45562",,"4,8",28,,Tidak Ada ,Tidak Tersedia,-7.0108731,108.4176032,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid AT TAQWA Ciawigebang,Masjid,"2HHM+425, Ciawigebang, Kec. Ciawigebang, Kabupaten Kuningan, Jawa Barat 45591",Buka 24 jam,"4,7",305,,Tidak Ada ,Tidak Tersedia,-6.9722382,108.5826003,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Kuningan Islamic Center,Masjid,"2FQG+XHG, Jl. Dr. Ir. Soekarno, Winduherang, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45552",Buka 24 jam,"4,5",659,,Tidak Ada ,Tidak Tersedia,-6.9600721,108.4764567,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Hidayah,Masjid,"3FRQ+QH9, Maniskidul, Kec. Jalaksana, Kabupaten Kuningan, Jawa Barat 45554",,"4,7",212,,Tidak Ada ,Tidak Tersedia,-6.9080771,108.4889923,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Ma'had Umar Bin Khottob,Masjid,"Cipetir, Kec. Lebakwangi, Kabupaten Kuningan, Jawa Barat 45574",09.00 hingga 17.00,"4,6",49,"
0896-4446-2429",Ada,Tersedia,-7.0235794,108.5985491,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Baiturrahman Kadugede,Masjid,"XFW3+638, Babatan, Kec. Kadugede, Kabupaten Kuningan, Jawa Barat 45561",,"4,7",271,"
0812-2247-5221",Ada,Tidak Tersedia,-7.004467,108.4526878,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Falah,Masjid,"X9QV+94G, Kawahmanuk, Kec. Darma, Kabupaten Kuningan, Jawa Barat 45562",,"4,6",25,,Tidak Ada ,Tidak Tersedia,-7.0115709,108.3928375,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al - Munawwar,Masjid,"2FGM+32P, Jl. Pramuka, Purwawinangun, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45512",,"4,8",63,,Tidak Ada ,Tidak Tersedia,-6.974781,108.4825803,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' An-Nur (Ahmadiyah),Masjid,"3FWP+7VC, Manislor, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45554",,"4,8",132,,Tidak Ada ,Tidak Tersedia,-6.9043134,108.4871525,Aksesibilitas Tersedia,[]
Masjid Nurul Iman,Masjid,"2FFM+4P8, Komplek Stadion Mashudwisnusaputra, Kuningan, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45511",,"4,6",44,,Tidak Ada ,Tidak Tersedia,-6.9772079,108.4843254,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Barokah,Masjid,"XHWP+3W8, Bendungan, Kec. Lebakwangi, Kabupaten Kuningan, Jawa Barat 45574",Buka 24 jam,"4,6",100,,Tidak Ada ,Tidak Tersedia,-7.0048309,108.5873353,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Agung Syiarul Islam,Masjid,"2F9G+7F9, Jl. Wahyu, Kuningan, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45511",Buka 24 jam,"4,7",2.705,,Tidak Ada ,Tidak Tersedia,-6.981828,108.4762379,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
MASJID JAMI' AL-FALAH,Masjid,"4G97+GX3, Timbang, Kec. Cigandamekar, Kabupaten Kuningan, Jawa Barat 45556",,"4,8",41,,Tidak Ada ,Tidak Tersedia,-6.8812405,108.5149234,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid AT TAQWA Jalaksana,Masjid,"3FGP+CHV, Jalaksana, Kec. Jalaksana, Kabupaten Kuningan, Jawa Barat 45554",Buka 24 jam,"4,8",388,,Tidak Ada ,Tidak Tersedia,-6.9238859,108.4864157,Aksesibilitas Tersedia,[]
Masjid Al Fallah,Masjid,"Jl. Nanjung Mulya No.06/03, Cijoho, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45513",Buka 24 jam,"4,7",46,,Tidak Ada ,Tidak Tersedia,-6.9692694,108.4914186,Aksesibilitas Tersedia,[]
MASJID Al FALAH,Masjid,"2FWJ+PM7, RT.09/RW.3, Cirendang, Kec. Kuningan, Kabupaten Kuningan, Jawa Barat 45518",,"4,7",32,,Tidak Ada ,Tidak Tersedia,-6.953206,108.481661,Aksesibilitas Tersedia,[]
Masjid Hidayatul Muslimin,Masjid,"10/04 Pahing Cipasung, Darma, Cipasung, Kuningan, Kabupaten Kuningan, Jawa Barat 45562",,"4,7",71,,Tidak Ada ,Tidak Tersedia,-7.0203405,108.3936802,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Jihad (Ahmadiyah),Masjid,"3FWM+QJ6, Manislor, Kec. Jalaksana, Kabupaten Kuningan, Jawa Barat 45554",Buka 24 jam,"4,8",21,,Tidak Ada ,Tersedia,-6.9030826,108.484004,Aksesibilitas Tersedia,[]
Masjid Darul Falah Cikaso,Masjid,"3F9W+6C8, Jl. Kramatmulya - Cikaso, Cikaso, Kec. Kramatmulya, Kabupaten Kuningan, Jawa Barat 45553",Buka 24 jam,"4,7",170,,Tidak Ada ,Tidak Tersedia,-6.9319604,108.4960839,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
