nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid AL-KHOIR,Masjid,"5689+VP4, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",Buka 24 jam,"4,7",20,,Tidak Ada ,Tidak Tersedia,-6.8328671,108.2193289,Aksesibilitas Tersedia,[]
Masjid Jami At-Taqwa Abu-Salam,Masjid,"575P+476, Padahanten, Kec. Sukahaji, Kabupaten Majalengka, Jawa Barat 45471",,"4,4",48,,Tidak Ada ,Tidak Tersedia,-6.8422198,108.2856504,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al Hidayah Babakananyar,Masjid,"65X5+X6X, desa, Babakan Anyar, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",,"4,5",27,,Tidak Ada ,Tidak Tersedia,-6.7500125,108.1581094,Aksesibilitas Tersedia,[]
Masjid Miftahul Jannah,Masjid,"No Jl. Raya K H Abdul Halim No.499, Tonjong, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45414",,"4,7",182,,Tidak Ada ,Tidak Tersedia,-6.833824,108.2441363,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Islamic Center,Masjid,"5685+CMM, Munjul, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",Buka 24 jam,"4,6",64,,Tidak Ada ,Tidak Tersedia,-6.8339202,108.2091633,Aksesibilitas Tersedia,[]
Masjid Raharja Khoirul Ummah,Masjid,"567H+2GM, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",,"4,7",59,,Tidak Ada ,Tidak Tersedia,-6.8374086,108.2288067,Aksesibilitas Tersedia,[]
Masjid Al-Hidayah,Masjid,"687Q+37R, Jl. Pangeran Muhamad, Cipinang, Kec. Rajagaluh, Kabupaten Majalengka, Jawa Barat 45472",,"4,7",73,,Tidak Ada ,Tidak Tersedia,-6.7872703,108.3381367,Aksesibilitas Tersedia,[]
Masjid Al-Anhar (Sebelah Timur Terminal Maja),Masjid,"Maja Sel., Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",04.00 hingga 21.00,"4,5",60,"
0852-9573-3401",Ada,Tidak Tersedia,-6.8913547,108.306733,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al - Falah Desa Parapatan,Masjid,"Jl. Raya Cirebon - Bandung No.1200, Paningkiran, Kec. Sumberjaya, Kabupaten Majalengka, Jawa Barat 45455",,"4,3",18,,Tidak Ada ,Tidak Tersedia,-6.7021174,108.3633605,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Baiturrahim,Masjid,"47HP+6XF, Sindangkerta, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",,"4,6",50,,Tidak Ada ,Tidak Tersedia,-6.8719387,108.2874342,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Manar Majalengka Kulon,Masjid,"5678+RXM, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",Buka 24 jam,"4,9",30,,Tidak Ada ,Tidak Tersedia,-6.8354196,108.217419,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Panyaweuyan,Masjid,"38JW+FVJ, Tejamulya, Kec. Argapura, Kabupaten Majalengka, Jawa Barat 45462",07.00 hingga 20.00,"4,7",31,"
0813-2186-2591",Ada,Tidak Tersedia,-6.9186589,108.3471854,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al Falah,Masjid,"8925+V7Q, Panjalin Kidul, Kec. Sumberjaya, Kabupaten Majalengka, Jawa Barat 45455",,"4,8",28,,Tidak Ada ,Tidak Tersedia,-6.6977846,108.3582237,Aksesibilitas Tersedia,[]
