nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Miftahul Ulum,Masjid,"8MFF+JV6, Babakan, Kec. Pangandaran, Kabupaten Ciamis, Jawa Barat 46396",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.67596,108.6746556,Aksesibilitas Tersedia,[]
Masjid al-hikmah,Masjid,"8H99+FXG, Jl. Cipepean, Cibenda, Kec. Parigi, Kab. Pangandaran, Jawa Barat 46393",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.681308,108.5699396,Aksesibilitas Tersedia,[]
Masjid Darul Falah,Masjid,"Pagergunung, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",Buka 24 jam,"5,0",4,,Tidak Ada ,Tidak Tersedia,-7.6440498,108.6450092,Aksesibilitas Tersedia,[]
Masjid Al Furqon,Masjid,"Desa Kedungwuluh, Padaherang, Kedungwuluh, Ciamis, Kab. Pangandaran, Jawa Barat 46384",04.00 hingga 00.00,"4,6",18,"
0882-2913-7458",Ada,Tersedia,-7.5357447,108.6871731,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Ihsan Sa'ad Bin Muadz Cipari Sukaresik,Masjid,"Sukaresik, Kec. Sidamulih, Kab. Pangandaran, Jawa Barat 46365",,"5,0",4,"
0822-1702-3006",Ada,Tidak Tersedia,-7.674703,108.5800558,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Falaah,Masjid,"Bojong Aren, Pagergunung, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",,"5,0",4,"
0812-2319-1493",Ada,Tidak Tersedia,-7.6361879,108.6423813,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Idhar,Masjid,"Jl. Raya Cijulang, RT.2/RW.3, Cikembulan, Kec. Sidamulih, Kab. Pangandaran, Jawa Barat 46365",,"4,8",8,"
0812-2060-5507",Ada,Tidak Tersedia,-7.6760278,108.6099939,Aksesibilitas Tersedia,[]
Masjid Al-Qomariyah,Masjid,"Dusun Nusagede, Kondangjajar, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-7.7260371,108.4876259,Aksesibilitas Tersedia,[]
Masjid Al-Hidayah,Masjid,"8FWM+V5P, Jl. Jadimulya, Langkaplancar, Cintakarya, Ciamis, Kab. Pangandaran, Jawa Barat 46393",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-7.6527838,108.4829675,Aksesibilitas Tersedia,[]
Mesjid Miftahul Huda Salak,Masjid,"Salak Sawangan, Ciparakan, Kec. Kalipucang, Kab. Pangandaran, Jawa Barat 46397",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-7.5694446,108.6193762,Aksesibilitas Tersedia,[]
Masjid Maryam Bint Abdurrahman,Tempat Ibadah,"7F6X+W29, pantai, Batukaras, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394",,"4,0",2,,Tidak Ada ,Tidak Tersedia,-7.7377112,108.4976078,Aksesibilitas Tersedia,[]
Masjid Al-Muttaqin,Masjid,"8JGQ+224, Wonoharjo, Kec. Pangandaran, Kabupaten Ciamis, Jawa Barat 46396",Buka 24 jam,"5,0",5,,Tidak Ada ,Tidak Tersedia,-7.6749793,108.6375664,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Ikhlas Cikopeng Kertayasa,Masjid,"Dusun.Bugel, RT.03/RW.02, Kertayasa, Cijulang, Pangandaran Regency, West Java 46394",Buka 24 jam,"4,3",3,"
0853-1744-0601",Ada,Tidak Tersedia,-7.7149068,108.4480898,Aksesibilitas Tersedia,[]
Masjid Jami' An-Najah,Masjid,"Pananjung, Kec. Pangandaran, Kabupaten Ciamis, Jawa Barat 46396",,"5,0",10,,Tidak Ada ,Tidak Tersedia,-7.6828998,108.6477762,Aksesibilitas Tersedia,[]
Masjid Al Muslim,Masjid,"8M56+97V, Pangandaran, Kec. Pangandaran, Kabupaten Ciamis, Jawa Barat 46396",,"5,0",12,,Tidak Ada ,Tidak Tersedia,-7.6915121,108.6606723,Aksesibilitas Tersedia,[]
Masjid Jami' Bani Akhyar,Masjid,"Jl. Raya Cijulang, Cibenda, Kec. Parigi, Kab. Pangandaran, Jawa Barat 46393",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-7.6815893,108.5443408,Aksesibilitas Tersedia,[]
