nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami AL-Hasanah,Masjid,"Jl. Pasir Pogor No.70, Malakasari, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40375",,"4,8",15,,Tidak Ada ,Tidak Tersedia,-7.0078214,107.609636,Aksesibilitas Tersedia,[]
MASJID JAMI AL-IKHLASH CIBORERANG,Masjid,"2H3G+6JP, Jl. Bojong Tanjung Kp. Ciborerang, RT.01/RW.19, Sangkanhurip, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921",,"5,0",11,"
0898-5450-540",Ada,Tidak Tersedia,-6.9969098,107.576573,Aksesibilitas Tersedia,[]
Masjid Nurul Iman Ciharum,Masjid,"Jl. Ciharum No.20, Cilampeni, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40229",Buka 24 jam,"4,9",35,,Tidak Ada ,Tidak Tersedia,-6.9819156,107.5616519,Aksesibilitas Tersedia,[]
Masjid Al-Kautsar,Masjid,"2HQC+XHR, Margahayu Tengah, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40225",,"4,8",118,,Tidak Ada ,Tidak Tersedia,-6.9600165,107.5713957,Aksesibilitas Tersedia,[]
Masjid Mujahidin,Masjid,"Jl. Gandasari No.143, Gandasari, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921",07.00 hingga 21.00,"4,7",78,,Tidak Ada ,Tidak Tersedia,-7.0297383,107.5498064,Aksesibilitas Tersedia,[]
Masjid Amr Bin Ash,Masjid,"Jl. Cisirung Jl. Cibedug Hilir No.143, Cangkuang Wetan, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40238",,"4,7",69,,Tidak Ada ,Tidak Tersedia,-6.9759323,107.6016832,Aksesibilitas Tersedia,[]
Masjid Tirta Regency,Masjid,"XJJ4+2CM, Jl. Tirta Regency, Langonsari, Kec. Pameungpeuk, Kabupaten Bandung, Jawa Barat 40376",,"4,8",26,,Tidak Ada ,Tidak Tersedia,-7.0199046,107.6060448,Aksesibilitas Tersedia,[]
Masjid Agung Al-Fathu Soreang,Masjid,"Jl. Al-Fathu, Pamekaran, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40912",Buka 24 jam,"4,6",4.999,,Tidak Ada ,Tidak Tersedia,-7.0208073,107.5288629,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Al Muslimun Cikupa,Masjid,"XGJ9+9GH, Padasuka, Kec. Kutawaringin, Kabupaten Bandung, Jawa Barat 40911",,"4,6",67,,Tidak Ada ,Tidak Tersedia,-7.0190552,107.5188493,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid AL AMANAH,Masjid,"Jl. Sadang Asri V, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243",,"4,6",34,"
0831-7577-8616",Ada,Tidak Tersedia,-6.940861,107.6015801,Aksesibilitas Tersedia,[]
Masjid Jami Yahya Idrus,Masjid,"Jalan Raya Soreang, Kp Jl. Lembur Tegal No.5, RT.02/RW.04, Pamekaran, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40912",Buka 24 jam,"4,8",27,,Tidak Ada ,Tidak Tersedia,-7.0257673,107.526653,Aksesibilitas Tersedia,[]
Masjid Al Islah,Masjid,"Jl. Suka Ati No.54, Mengger, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40267",,"4,8",40,,Tidak Ada ,Tidak Tersedia,-6.9593064,107.6229592,Aksesibilitas Tersedia,[]
Masjid Jami Binaul Mamur,Masjid,"Gandasoli Cikambuy No.27, Banyusari, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921",,"4,7",13,,Tidak Ada ,Tidak Tersedia,-7.0094124,107.5569497,Aksesibilitas Tersedia,[]
Masjid Nurussalam,Masjid,"2H3J+X3C, Kp. Patrol Jl. Katapang Andir, Sukamukti, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921",Buka 24 jam,"4,3",49,,Tidak Ada ,Tidak Tersedia,-6.9950531,107.5801355,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Hamid bin Umar Hamid,Masjid,"Jl. Katapang Andir, Kp Jl. Ciborerang, RT.03/RW.20, Sangkanhurip, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921",Buka 24 jam,"5,0",18,"
0851-6274-5418",Ada,Tersedia,-6.9982768,107.5751087,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
