nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Nurul Iman,Masjid,"4HRG+CX9, Jl. Waruga Jaya, Ciwaruga, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559",,"4,7",53,,Tidak Ada ,Tidak Tersedia,-6.858971,107.5774884,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Agung Cililin,Masjid,"2FX4+CQ3, Jalan Raya, Cililin, West Bandung Regency, West Java 40562",,"4,5",70,"
0896-5717-2135",Ada,Tidak Tersedia,-6.9514999,107.4569073,Aksesibilitas Tersedia,[]
Masjid Nur Azizi,Masjid,"Jl. Raya Bukit Permata, RW.22, Cilame, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552",Buka 24 jam,"4,8",155,"
0821-1786-8241",Ada,Tidak Tersedia,-6.8580318,107.5159641,Aksesibilitas Tersedia,[]
Masjid Raya Bandung,Masjid,"Jl. Dalem Kaum No.14, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",05.00 hingga 22.00,"4,6",8.794,"
(022) 4240275",Ada,Tidak Tersedia,-6.9216897,107.6061399,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jamie Assanusi Peusing Girang,Masjid,"2C76+FHR, Sindangkerta, Kec. Sindangkerta, Kabupaten Bandung Barat, Jawa Barat 40563",,"4,5",22,,Tidak Ada ,Tidak Tersedia,-6.9862528,107.4113778,Aksesibilitas Tersedia,[]
Masjid Jami Al-Mutmainah,Masjid,"X9XH+2PR, Cicangkang Girang, Kec. Sindangkerta, Kabupaten Bandung Barat, Jawa Barat 40563",Buka 24 jam,"4,5",2,"
0831-4857-5287",Ada,Tidak Tersedia,-7.0023842,107.3792635,Aksesibilitas Tersedia,[]
Masjid Almah Jariyah,Masjid,"4G66+X5J, Jl. Sindangsari, RW.12, Laksanamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40715",,"4,8",33,,Tidak Ada ,Tidak Tersedia,-6.8875445,107.5104039,Aksesibilitas Tersedia,[]
Masjid Jami Al Barokah,Masjid,"Kampung, Jl. Rancatiis Jl.Hegarmanah II No.1, RT.01/RW.06, Galanggang, Kec. Batujajar",Buka 24 jam,"5,0",15,"
0821-1547-7333",Ada,Tidak Tersedia,-6.9136133,107.4943446,Aksesibilitas Tersedia,[]
Masjid jami' Al Ma'mir,Masjid,"3CXR+WC6, Jl, Pangauban, Batujajar, West Bandung Regency, West Java 40561",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9002019,107.4410195,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ikhlas,Masjid,"4FMP+492, Kp Jl. Cibacang, RT.02/RW.05, Cipeundeuy, Padalarang, West Bandung Regency, West Java 40553",Buka 24 jam,"4,5",8,,Tidak Ada ,Tidak Tersedia,-6.8672372,107.4858763,Aksesibilitas Tersedia,[]
Masjid Nurul Awani,Masjid,"The Awani Residence, Jl. Awani Raya Utara No.D, Cilame, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552",Buka 24 jam,"4,9",54,"
0878-2386-0553",Ada,Tidak Tersedia,-6.8618122,107.512271,Aksesibilitas Tersedia,['Memiliki tempat parkir khusus pengguna kursi roda']
Masjid Al Barokah,Masjid,"4FCQ+V73, Cimerang, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.8778705,107.4881591,Aksesibilitas Tersedia,[]
Masjid Al Ukhuwah Kota Baru Parahyangan,Masjid,"4FJ7+R77, Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",Buka 24 jam,"4,9",215,,Tidak Ada ,Tidak Tersedia,-6.8696191,107.4625795,Aksesibilitas Tersedia,['Memiliki tempat parkir khusus pengguna kursi roda']
Masjid Al Fat'h,Masjid,"Jl. Puri Kenanga Raya, Jl. Puri Cipageran Indah 2 Blok B5, Tanimulya, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552",,"4,9",91,,Tidak Ada ,Tidak Tersedia,-6.8580295,107.5270168,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid At Tijaniyyah,Masjid,"4GH2+PM5, Jl. Cikandang, Cimareme, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552",,"4,5",14,"
0822-1720-5383",Ada,Tidak Tersedia,-6.8707357,107.5017251,Aksesibilitas Tersedia,[]
Masjid jami al ikhlas pos giro,Masjid,"4F9X+7H6, Jl. Industri II, Laksanamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",Buka 24 jam,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.881831,107.498885,Aksesibilitas Tersedia,[]
Masjid Al Fatih,Masjid,"4JWF+8CJ, Jl. Dago Giri, Mekarwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",04.00 hingga 20.00,"4,7",142,,Tidak Ada ,Tidak Tersedia,-6.8541738,107.6235254,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Sanghyang Pancanaka,Masjid,"4G57+CQW, Jl. Michigan, Cibeber, Kec. Cimahi Sel., Kabupaten Bandung Barat, Jawa Barat 40553",,"4,8",33,,Tidak Ada ,Tidak Tersedia,-6.8913919,107.5144525,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Ikhlash,Masjid,"Komplek Cimareme Indah, Masjid Jl. Raya Caringin, Cimareme, Kec. Ngamprah, Kabupaten Bandung Barat, Jawa Barat 40552",,"4,8",67,,Tidak Ada ,Tidak Tersedia,-6.8604222,107.5023288,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Aghnia,Masjid,"4GC2+3VC, Laksanamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,6",27,,Tidak Ada ,Tersedia,-6.8798219,107.5021483,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Riyadhul Jannah Sodong,Masjid,"4FMH+57J, Java, kp sodong cijumleung jalan cibacang hilir, Jalan Cipeundeuy, Cipeundeuy, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,8",17,,Tidak Ada ,Tidak Tersedia,-6.867037,107.4781251,Aksesibilitas Tersedia,[]
