nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Baitul Makmur (LDII),Masjid,"5W6C+3M4, Situ, Kec. Sumedang Utara, Kabupaten Sumedang, Jawa Barat 45621",Buka 24 jam,"4,8",28,"
0813-2111-5597",Ada,Tersedia,-6.8398577,107.9216898,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ikhlas,Masjid,"2RMC+M26, Ciburaleng, Sindangpakuon, Kec. Cimanggung, Kabupaten Sumedang, Jawa Barat 45364",Buka 24 jam,"4,4",11,,Tidak Ada ,Tidak Tersedia,-6.9658385,107.8200267,Aksesibilitas Tersedia,[]
MASJID JAMI AL-IKLAS,Tempat Ibadah,"3R8M+R6C, kp.kiarajegang, RT.05/RW.02, Mekarbakti, Kec. Pamulihan, Kabupaten Sumedang, Jawa Barat 45365",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9329456,107.8330052,Aksesibilitas Tersedia,[]
Masjid Jami Al Djumsin,Masjid,"2QWW+PWQ, Kp. Baturumpil, Desa, Mangunarga, Cimanggung, Sumedang Regency, West Java 45364",Buka 24 jam,"4,6",34,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Besar Isra Noor,Masjid,"3R49+7M8, Cikahuripan, Kec. Cimanggung, Kabupaten Sumedang, Jawa Barat 45364",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9443366,107.819189,Aksesibilitas Tersedia,[]
Masjid Jami Dan Majlis Ta'lim AL QOMARIYYAH,Masjid,"4WM8+WRR, Sukajaya, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311",Buka 24 jam,"4,6",8,"
0857-2255-4703",Ada,Tidak Tersedia,-6.8651351,107.9170043,Aksesibilitas Tersedia,[]
Masjid Al-Huda,Masjid,"Jl. Serma Muchtar Gg. Pabrik Es, Situ, Kec. Sumedang Utara, Kabupaten Sumedang, Jawa Barat 45323",Buka 24 jam,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.8472032,107.9216224,Aksesibilitas Tersedia,[]
Masjid Jami Al Ikhlas,Masjid,"36M5+6C6, Cimanintin, Kec. Jatinunggal, Kabupaten Sumedang, Jawa Barat 45376",Buka 24 jam,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.9169681,108.2085186,Aksesibilitas Tersedia,[]
Masjid Abu Khalifa,Masjid,"3WRV+MJ7, Cipancar, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311",,"4,7",14,,Tidak Ada ,Tidak Tersedia,-6.9083363,107.944043,Aksesibilitas Tersedia,[]
Masjid Jami Al Ikhwan,Masjid,"45373 kabupaten/kota madya, cihirung 1, RT.01/RW.07, Ganjaresik, Kec. Wado, Kabupaten Sumedang, Jawa Barat 45373",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9890961,108.1402992,Aksesibilitas Tersedia,[]
