nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
"Masjid Assalam, Gunung Ceuri 1",Masjid,"M665+6RV, Jl. Paseh Gg. Gn. Ceuri 1, Tuguraja, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46125",,"4,6",13,,Tidak Ada ,Tidak Tersedia,-7.3393792,108.2095464,Aksesibilitas Tersedia,[]
Masjid Al-Hidayah,Masjid,"P5RG+6XQ, kp.babakanjawa desa, Sukaraharja, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153",,"4,9",8,"
0812-8564-6400",Ada,Tidak Tersedia,-7.2594113,108.1774907,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Aisyah,Masjid,"Jl. Ir. H. Juanda No.39, Bantarsari, Kec. Bungursari, Kab. Tasikmalaya, Jawa Barat 46151",04.00 hingga 20.00,"4,7",328,,Tidak Ada ,Tidak Tersedia,-7.3222858,108.1979833,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ihsan,Masjid,"J5JH+RM2 Sela'awi, Kp, Karanganyar, Kawalu, Tasikmalaya Regency, West Java 46182",Buka 24 jam,"4,7",13,"
0815-8431-9014",Ada,Tidak Tersedia,-7.3679822,108.179148,Aksesibilitas Tersedia,[]
Masjid At-Tazakka,Masjid,"Jl. Cisalak, Nagarasari, Kec. Cipedes, Kab. Tasikmalaya, Jawa Barat 46132",,"4,7",17,,Tidak Ada ,Tidak Tersedia,-7.3032568,108.2267321,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Mesjid Sarongge,Masjid,"F38G+VP8, Wakap, Kec. Bantarkalong, Kabupaten Tasikmalaya, Jawa Barat 46187",,"4,6",17,"
0821-1586-3354",Ada,Tidak Tersedia,-7.5328349,108.0768399,Aksesibilitas Tersedia,[]
Masjid Al Hanafiyah,Masjid,"M5GP+VRX, Bantarsari, Kec. Bungursari, Kab. Tasikmalaya, Jawa Barat 46151",,"4,7",23,,Tidak Ada ,Tidak Tersedia,-7.3227684,108.1871061,Aksesibilitas Tersedia,[]
Masjid Agung Kota Tasikmalaya,Masjid,"Jl. Mesjid Agung No.01, Yudanagara, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46121",Buka 24 jam,"4,8",10.994,,Tidak Ada ,Tidak Tersedia,-7.3261021,108.2199555,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Mujahidin,Masjid,"M5VV+4XC, Jl. Letnan Harun, Sukarindik, Kec. Bungursari, Kab. Tasikmalaya, Jawa Barat 46151",,"4,9",38,,Tidak Ada ,Tidak Tersedia,-7.3071773,108.1948842,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Huda Sindanggalih,Masjid,"J9FC+62P, Sindanggalih, Rajadatu, Kec. Cineam, Kabupaten Tasikmalaya, Jawa Barat 46198",,"4,7",12,,Tidak Ada ,Tidak Tersedia,-7.3769,108.3700861,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
