nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,status_telepon,status_website,latitude,longitude,status_aksesibilitas,aksesibilitas
Masjid Alhidayah,Masjid,"Babakan RT.008/002, Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"4,7",6,,Tidak Ada,Tidak Tersedia,-7.3653246,108.4770038,Tidak Tersedia,
Masjid Al Ikhlash,Masjid,"HGXQ+Q5G, Sukamukti, Kec. Pataruman, Kota Banjar, Jawa Barat 46326",Buka 24 jam,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.4005624,108.5379605,Tidak Tersedia,
Masjid Jami AL WAFA,Masjid,"Lingkungan Banjar kolot, RT.003/RW.015, Banjar, Kec. Purwaharja, Kota Banjar, Jawa Barat 46311",Buka 24 jam,"5,0",4,"
0852-2338-7260",Ada,Tidak Tersedia,-7.3686783,108.5229205,Tidak Tersedia,
Masjid Al-ikhlas,Masjid,"JGMC+WXF, Jl. KH. Amin, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.3651926,108.5224076,Tidak Tersedia,
Masjid Al Huda (LDII),Masjid,"Jl. Gerilya No.50, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",04.15 hingga 22.00,"4,8",25,"
0852-2466-5225",Ada,Tersedia,-7.3820291,108.5286572,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda
Masjid Mustika Kota Banjar Jawa Barat,Masjid,"Jl. Raya Banjar - Pangandaran No.47a, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",04.00 hingga 20.00,"5,0",4,"
0812-2409-376",Ada,Tidak Tersedia,-7.3799954,108.5426169,Aksesibilitas Tersedia,Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Jami Baiturrahim,Masjid,"Jl. Ciamis - Banjar No.18, Karangkamulyan, Kec. Cijeungjing, Kabupaten Ciamis, Jawa Barat 46271",,"4,8",19,,Tidak Ada,Tidak Tersedia,-7.3478875,108.487952,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid 'Ashim bin Tsabit - Pondok Pesantren Al Kautsar Banjar,Masjid,"Jl. Pejuang No.17, RT.10/RW.03, dusun karang pucung wetan, Jajawar, Kec. Banjar, Kota Banjar, Jawa Barat 46313",Buka 24 jam,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3585658,108.4975168,Tidak Tersedia,
Masjid Jami Baiturrohman,Masjid,"JHG2+5M8 City, Jl. Pataruman, Pataruman, Banjar, Banjar City, West Java 46323",Buka 24 jam,"4,0",7,,Tidak Ada,Tidak Tersedia,-7.3745777,108.551711,Tidak Tersedia,
Masjid Al-Barkah,Masjid,"JFMH+4CG, Dusun babakan, Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"4,3",3,,Tidak Ada,Tidak Tersedia,-7.3671958,108.4785644,Tidak Tersedia,
Masjid Al Hidayah,Masjid,"HGVQ+746, Sukamukti, Kec. Pataruman, Kota Banjar, Jawa Barat 46316",Buka 24 jam,"4,8",9,,Tidak Ada,Tidak Tersedia,-7.4068322,108.5377636,Tidak Tersedia,
Masjid jami Assalam,Masjid,"Gg. Bawal 3 No.2, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3731434,108.5312366,Tidak Tersedia,
Masjid Miftahul Amanah,Masjid,"Jl. Brigjenm. Isa, SH No.39, Purwaharja, Kec. Purwaharja, Kota Banjar, Jawa Barat 46331",,"4,8",43,"
(0265) 745892",Ada,Tidak Tersedia,-7.3569022,108.5311038,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda
Masjid At-taslim,Masjid,"JGM6+RG2, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,"4,6",11,,Tidak Ada,Tidak Tersedia,-7.3654881,108.5112568,Tidak Tersedia,
Masjid Nurul Huda Cibonte,Masjid,"JFFQ+M8V, Unnamed Road, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"4,0",4,,Tidak Ada,Tidak Tersedia,-7.3757639,108.4883011,Tidak Tersedia,
Masjid Jami Karunia Ilahi,Masjid,"Jl. Kapten Jamhur No.70, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",Buka 24 jam,"4,1",8,,Tidak Ada,Tidak Tersedia,-7.3738416,108.5361876,Tidak Tersedia,
Masjid Al Huda,Masjid,"Perum Blok D, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",Buka 24 jam,"4,4",5,"
(0265) 84532",Ada,Tidak Tersedia,-7.362155,108.5031025,Tidak Tersedia,
Masjid Al-Hidayah,Tempat Ibadah,"JGJ8+6VP, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",Buka 24 jam,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3694236,108.5171982,Tidak Tersedia,
Masjid Darul Ikhlas,Masjid,"JGHM+256, Jl. Muhamad Hamim, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"4,4",17,,Tidak Ada,Tidak Tersedia,-7.3724512,108.5329026,Tidak Tersedia,
Masjid Al Furqon,Masjid,"JG9V+5QV, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3820228,108.544434,Tidak Tersedia,
Masjid Al Istiqomah,Masjid,"JGHJ+6GC, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3719364,108.5312566,Tidak Tersedia,
Masjid Jami Nurul Iman,Masjid,"Sukarame 02/25, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",Buka 24 jam,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3787646,108.5292806,Tidak Tersedia,
Masjid Jami Al-Barokah,Masjid,"JF9H+5JW, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,,,,Tidak Ada,Tidak Tersedia,-7.3820092,108.479071,Tidak Tersedia,
Masjid PT Alba,Masjid,"Jl. Nasional 18 No.193, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",Buka 24 jam,"4,4",24,,Tidak Ada,Tidak Tersedia,-7.3964097,108.5367163,Aksesibilitas Tersedia,Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Jami' Darul Hikmah Kedunghaur,Masjid,"karangpucung kulon, RT.15/RW.04, Jajawar, Kec. Banjar, Kota Banjar, Jawa Barat",Buka 24 jam,"4,7",20,,Tidak Ada,Tidak Tersedia,-7.353533,108.493993,Tidak Tersedia,
MASJID JAMI NURUL HUDA KOTA BANJAR,Masjid,"JGFR+WQM, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",04.00 hingga 21.00,,,"
0821-1616-5986",Ada,Tersedia,-7.3804779,108.543847,Tidak Tersedia,
Masjid Jami Nurul Huda,Masjid,"JGJ2+PP2, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,"4,3",4,,Tidak Ada,Tidak Tersedia,-7.3682495,108.5017738,Tidak Tersedia,
Masjid Nurul Falah,Masjid,"JGJP+3VR, Jl. Sudiro W, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"4,6",7,,Tidak Ada,Tidak Tersedia,-7.3697693,108.5371507,Tidak Tersedia,
Islamic Dawah Building of the Banjar City,Gedung Pertemuan,"JGJR+59H, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,3",33,,Tidak Ada,Tidak Tersedia,-7.3695604,108.5409797,Tidak Tersedia,
Masjid Al-Mukarromah,Masjid,"JG8H+V5W, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"3,9",8,,Tidak Ada,Tidak Tersedia,-7.3827656,108.5279509,Tidak Tersedia,
Masjid Jame Jamatussakinah,Masjid,"JGHR+C49, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3714729,108.5403624,Tidak Tersedia,
