nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Al-Furqon,Masjid,"Jl. Jambu Air 8 No.1, RT.001/RW.016, Kota Baru, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17133",Buka 24 jam,"4,7",481,"
(021) 8863677",Ada,Tersedia,-6.214538,106.963173,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Raya Muhammad Ramadhan,Masjid,"PXMF+6MX Masjid Moh. Ramadhan, Jl. Pulo Ribung No.2, RT.010/RW.013, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148",04.00 hingga 21.30,"4,8",785,,Tidak Ada ,Tidak Tersedia,-6.266905,106.9742845,Aksesibilitas Tersedia,[]
Masjid Al-Ikhwan,Masjid,"Perumahan Vida Bumipala (Grand Bekasi, pinggir danau Jl. Taman Apel Merah IV blok A5, RT.006/RW.019, Padurenan, Kec. Mustika Jaya, Kota Bks, Jawa Barat 17156",Buka 24 jam,"4,8",37,"
0852-1653-8820",Ada,Tidak Tersedia,-6.3169731,107.0041876,Aksesibilitas Tersedia,[]
Masjid An-Naml,Masjid,"Komplek Perumahan PU Pengairan Rawa Semut C.53, Margahayu, Bekasi Timur, RT.004/RW.012, Margahayu, Bekasi, Kota Bks, Jawa Barat 17113",,"4,8",82,,Tidak Ada ,Tidak Tersedia,-6.2602727,107.0143275,Aksesibilitas Tersedia,[]
Masjid Nurul Huda,Masjid,"Q2C9+25W, Jl. Irida Dalam Bar. V, RT.008/RW.014, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112",,"4,8",69,"
0856-9121-2974",Ada,Tidak Tersedia,-6.2298867,107.0179467,Aksesibilitas Tersedia,[]
Masjid Al-ikhlas,Masjid,"Jl. Jenggala 2 No.53, RT.013/RW.005, Jakasampurna, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17145",Buka 24 jam,"4,6",32,,Tidak Ada ,Tidak Tersedia,-6.2360121,106.9706387,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al-Ikhlas,Masjid,"PXXV+JPQ, RT.002/RW.001, Marga Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17141",Buka 24 jam,"4,7",43,,Tidak Ada ,Tidak Tersedia,-6.2509172,106.9943443,Aksesibilitas Tersedia,[]
Masjid Jami Annur,Masjid,"Jl. Annur Raya No.58A, RT.011/RW.012, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144",04.00 hingga 00.00,"4,7",91,"
0823-6520-5614",Ada,Tidak Tersedia,-6.2450898,106.9863003,Aksesibilitas Tersedia,[]
MASJID AL AMIR,Masjid,"QX7W+W4J, Jl. Ahmad Yani, RT.001/RW.005, Marga Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17141",Buka 24 jam,"4,7",52,,Tidak Ada ,Tidak Tersedia,-6.2351694,106.9952746,Aksesibilitas Tersedia,[]
Masjid Jami'e Al-Mabruur,Masjid,"M2PC+MHH, Jl. Perum Dukuh Zamrud, RT.003/RW.009, Padurenan, Kec. Mustika Jaya, Kota Bks, Jawa Barat 17155",Buka 24 jam,"4,8",418,"
0813-1062-8045",Ada,Tidak Tersedia,-6.3133004,107.0214768,Aksesibilitas Tersedia,[]
Masjid Miftahul Jannah,Masjid,"Jl. Prof. Moh. Yamin Blok Gama 1 No.12, RT.006/RW.005, Duren Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17111",Buka 24 jam,"5,0",29,,Tidak Ada ,Tidak Tersedia,-6.2466068,107.0184869,Aksesibilitas Tersedia,[]
Masjid Jami Al Hidayah,Masjid,"Jalan Pulau Selayar Raya, RT.008/RW.017, Aren Jaya, Bekasi Timur, Bekasi, West Java 17111",,"4,8",245,,Tidak Ada ,Tidak Tersedia,-6.2418317,107.0358163,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Miftahul Jannah,Masjid,"Q26Q+H26, Jl. Pulau Irian Jaya Raya, RT.002/RW.018, Aren Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17111",Buka 24 jam,"4,6",106,"
(021) 8810967",Ada,Tidak Tersedia,-6.2385757,107.0375298,Aksesibilitas Tersedia,[]
Masjid Darul Munawar,Masjid,"Jl. KH. Noer Ali Jl. Caman Raya Utara No.1, RT.001/RW.016, Jakasampurna, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17145",Buka 24 jam,"4,8",39,,Tidak Ada ,Tidak Tersedia,-6.2494932,106.9548922,Aksesibilitas Tersedia,[]
Masjid Al Araaf,Masjid,"M2H2+H8M, Vida Bekasi Bumipala District Cluster Taman Durian, RT.002/RW.016, Padurenan, Kec. Mustika Jaya, Kota Bks, Jawa Barat 16340",,"4,8",411,,Tidak Ada ,Tersedia,-6.3210259,107.0008089,Aksesibilitas Tersedia,['Memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Al Ikhwan,Masjid,"QX7X+V75, Jl. Pusdiklat Raya, RT.002/RW.001, Marga Mulya, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17142",Buka 24 jam,"4,4",22,"
0812-8083-8880",Ada,Tidak Tersedia,-6.2353748,106.9982232,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Gang Masjid Al huda.mede,Masjid,"Q246+R42, Gg. Masjid, RT.002/RW.002, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112",Buka 24 jam,"4,6",69,,Tidak Ada ,Tidak Tersedia,-6.2429865,107.0102673,Aksesibilitas Tersedia,[]
Masjid As Syuhada,Masjid,"QXCJ+9XJ, Jl. Durian Raya, RT.002/RW.007, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17135",Buka 24 jam,"4,8",91,,Tidak Ada ,Tidak Tersedia,-6.229029,106.9824049,Aksesibilitas Tersedia,[]
"""Masjid Izzatul Islam Grand Wisata Bekasi - Masjid Besar Terdekat""",Masjid,"P27R+M3P, Jl. Grand Wisata Jl. Sunset Ave, Lambangsari, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510",,"4,9",3.872,,Tidak Ada ,Tidak Tersedia,-6.2857755,107.0401976,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Munawwarah,Masjid,"MW4R+46F, Jl. Wibawa Mukti, RT.002/RW.007, Jatisari, Kec. Jatiasih, Kota Bks, Jawa Barat 17426",,"4,7",29,,Tidak Ada ,Tidak Tersedia,-6.3446779,106.9405324,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Iman,Masjid,"QX67+46X, Jl. Nurul Iman Raya, RT.005/RW.001, Jakasampurna, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17145",,"4,7",95,,Tidak Ada ,Tidak Tersedia,-6.2396469,106.9631192,Aksesibilitas Tersedia,[]
Masjid At-Taqwa - Taman Wisma Asri,Masjid,"Jl. Taman Wisma Asri Jl. Mangga Raya No.9A, Tlk. Pucung, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17121",,"4,8",60,,Tidak Ada ,Tidak Tersedia,-6.2180267,107.0254851,Aksesibilitas Tersedia,[]
Masjid Jami An-Nur,Masjid,"Jl. Sultan Agung No.9, RT.002/RW.015, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17135",02.58 hingga 00.00,"4,7",845,,Tidak Ada ,Tidak Tersedia,-6.2237907,106.9778761,Aksesibilitas Tersedia,[]
Masjid Al-Ma'ruf,Masjid,"Jl. Nuri No.1, RT.004/RW.022, Pengasinan, Kec. Rawalumbu, Kota Bks, Jawa Barat 17115",Buka 24 jam,"4,8",74,,Tidak Ada ,Tidak Tersedia,-6.273841,107.012946,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Daarul Muttaqien,Masjid,"QXJC+C9C, Perumahan Jl. Harapan Baru II Raya, RT.001/RW.002, Kota Baru, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17133",,"4,8",226,,Tidak Ada ,Tidak Tersedia,-6.2189498,106.9708752,Aksesibilitas Tersedia,[]
Masjid Jami At-Taqwa,Masjid,"Jl. Letnan Arsyad Raya No.12, RT.006/RW.012, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144",03.30 hingga 20.00,"4,8",156,,Tidak Ada ,Tidak Tersedia,-6.243671,106.9894613,Aksesibilitas Tersedia,[]
Masjid Jami Amar Ma'ruf,Masjid,"P2VC+RW7, Jl. HM. Joyo Martono, RT.003/RW.013, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113",Buka 24 jam,"4,8",1.044,,Tidak Ada ,Tidak Tersedia,-6.2554732,107.0223066,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid AT TAQWA Bekasi Utara,Masjid,"R2F4+H46, Ji.Raya Jl. Raya Pd. Ungu Permai, RT.003/RW.013, Kaliabang Tengah, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17125",Buka 24 jam,"4,6",281,,Tidak Ada ,Tidak Tersedia,-6.1760841,107.0052731,Aksesibilitas Tersedia,[]
Masjid Al Anhar (LDII),Masjid,"Jl. Chairil Anwar No.16 rt.008/008 Blok B, RT.008/RW.008, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113",Buka 24 jam,"4,9",77,,Tidak Ada ,Tersedia,-6.2553243,107.0053778,Aksesibilitas Tersedia,[]
Masjid Al Hanin Rawa Bebek Bekasi,Masjid,"Jl. Kali Baru No.38, RT.007/RW.012, Kota Baru, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17133",Buka 24 jam,"4,7",117,,Tidak Ada ,Tidak Tersedia,-6.2162804,106.9609363,Aksesibilitas Tersedia,[]
Masjid Jami Al-Muhajirin,Masjid,"Q2X5+P3M, Jl. Bumi Alinda Kencana, RT.007/RW.021, Kaliabang Tengah, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17125",,"4,8",365,,Tidak Ada ,Tidak Tersedia,-6.2006505,107.0076752,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Ar-Royyan Komplek BDN Bekasi,Masjid,"Jl. Tanjung Raya No.2 Blok B1, RT.009/RW.008, Jatiwaringin, Kec. Pd. Gede, Kota Bks, Jawa Barat 17411",Buka 24 jam,"4,6",131,,Tidak Ada ,Tidak Tersedia,-6.2792089,106.9169682,Aksesibilitas Tersedia,[]
