nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Raya Al-Mi'raj,Masjid,"Jl. Raya Pajajaran No.10, RT.02/RW.6, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143","04.30 hingga 05.00,11.00 hingga 13.00,15.00 hingga 15.30,18.00 hingga 18.30,19.00 hingga 19.30","4,8",4.717,,Tidak Ada ,Tidak Tersedia,-6.6071805,106.8085741,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jami' Al-Amaliah,Masjid,"Jl. Tumenggung Wiradireja, RT.02/RW.013, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",04.00 hingga 21.15,"4,8",123,,Tidak Ada ,Tidak Tersedia,-6.5890047,106.8188191,Aksesibilitas Tersedia,[]
Masjid Tazkia Islamic Center (d/h Andalusia),Masjid,"Jl. Ir H Juanda No.78, Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810",Buka 24 jam,"4,8",4.831,"
0815-1000-8899",Ada,Tersedia,,,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Jendral Besar Sudirman,Masjid,"Jl. Jend. Sudirman No.35, RT.01/RW.05, Pabaton, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16121",04.00 hingga 21.00,"4,9",816,,Tidak Ada ,Tidak Tersedia,-6.584853,106.7963716,Aksesibilitas Tersedia,"['Ada toilet khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Salman Al Farisi,Masjid,"CR84+9JW, Jl. Raya Pajajaran, RT.04/RW.07, Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16153",04.00 hingga 21.15,"4,8",605,,Tidak Ada ,Tidak Tersedia,-6.5840137,106.8065782,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' Mubarak (Ahmadiyah),Masjid,"Jl. Sirnasari V No.1, Sindangbarang, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16117",04.30 hingga 21.00,"4,8",83,,Tidak Ada ,Tidak Tersedia,-6.5770899,106.7613795,Aksesibilitas Tersedia,[]
Masjid Agung Harakatul Jannah,Masjid,"Jl. Raya Puncak KM. 71, Gadog, Ciawi Bogor, Sukamahi, Megamendung, Sukamahi, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770",Buka 24 jam,"4,8",1.773,,Tidak Ada ,Tidak Tersedia,-6.6559382,106.8596896,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Jami' Al-Muttaqien,Masjid,"CQJ8+H3M, Cilendek Bar., Kec. Bogor Bar., Kota Bogor, Jawa Barat",Buka 24 jam,"4,8",41,"
0899-0786-365",Ada,Tidak Tersedia,-6.5685375,106.7651719,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid At-Taqwa,Masjid,"8RMV+Q93, Jl. Bakom Pesantren No.32, RT.01/RW.12, Bojongkerta, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16139",Buka 24 jam,"4,8",87,,Tidak Ada ,Tidak Tersedia,-6.6656125,106.8434219,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Madinah,Masjid,"Perum. Mutiara Raya No.Blok F, RT.02/RW.16, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144",Buka 24 jam,"4,8",142,"
0822-1023-7430",Ada,Tersedia,-6.6229538,106.8313058,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' Ar-Rahman,Masjid,"Jl. H Jl. Achmad Sobana No.43, RT.03/RW.02, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16153",04.00 hingga 10.00,"4,8",1.292,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Jami' At-Tawwaab,Masjid,"Perumahan Bantarjati Permai, Jalan Celincing Raya No.1, RT.05/RW.13, Tegal Gundil, Bogor Utara, Bogor City, West Java 16152",04.00 hingga 21.15,"4,8",59,"
(0251) 8328617",Ada,Tidak Tersedia,-6.5746792,106.8157839,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Agung Bogor,Masjid,"Jl. Nyi Raja Permas No.1, RT.04/RW.06, Cibogor, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124",04.00 hingga 21.15,"4,5",1.251,"
(0251) 8320461",Ada,Tidak Tersedia,-6.5933468,106.7916457,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Jami' At-Taqwa Cimanggu Wates,Masjid,"RT.01/RW.09, Kedung Jaya, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164",Buka 24 jam,"4,7",87,,Tidak Ada ,Tidak Tersedia,-6.5594992,106.7868054,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
