nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Cibabat,Masjid,"4H64+XCV, Jl. Pesantren, Cibabat, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40513",,"4,7",211,,Tidak Ada ,Tidak Tersedia,-6.8875141,107.5560397,Aksesibilitas Tersedia,[]
Masjid Nurul Islam,Masjid,"Jl. Nurul Islam No.Kel, Padasuka, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40526",,"4,7",22,,Tidak Ada ,Tidak Tersedia,-6.8692514,107.5314302,Aksesibilitas Tersedia,[]
Masjid AT TAQWA Cimahi Utara,Masjid,"Jl. Cihanjuang Daeng M.Ardiwinata No.263, Kel, Cibabat, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40513",Buka 24 jam,"4,8",129,,Tidak Ada ,Tidak Tersedia,-6.863945,107.5628136,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Baiturrahman,Masjid,"Citeureup, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40512",Buka 24 jam,"4,8",44,"
0813-2005-0101",Ada,Tidak Tersedia,-6.8631466,107.5578915,Aksesibilitas Tersedia,"['Mendukung broadcast audio Auracast', 'Memiliki pintu masuk khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Barokah Cimahi,Masjid,"Jl. Kyai H. Usman Dhomiri No.77B, Padasuka, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40526",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.875908,107.5314246,Aksesibilitas Tersedia,[]
Masjid Sabillul Muttaqiin,Masjid,"4H84+J37, pptm, Cibabat, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40513",04.00 hingga 21.00,"4,8",15,"
(022) 6611754",Ada,Tidak Tersedia,-6.8834562,107.5551665,Aksesibilitas Tersedia,[]
Masjid Al-Muhajirin Cibogo Permai,Masjid,"Jl. Permai II No.50, Leuwigajah, Kec. Cimahi Sel., Kota Cimahi, Jawa Barat 40532",,"4,9",17,,Tidak Ada ,Tidak Tersedia,-6.9078563,107.5278041,Aksesibilitas Tersedia,[]
Masjid Al Fitrah,Masjid,"4G4J+HCC Asrama Brigif, Baros, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40521",,"4,7",24,,Tidak Ada ,Tidak Tersedia,-6.8935508,107.5310234,Aksesibilitas Tersedia,[]
MASJID DT AL MUSTOFA CIMAHI,Masjid,"4H53+32J, Jl. Sukasenang, RT.02/RW.14, Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.8922956,107.5525049,Aksesibilitas Tersedia,[]
Masjid Jami Al-Hidayah,Masjid,"4GCJ+32V, Jl. Panembakan Utara, Padasuka, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40526",,"4,7",23,,Tidak Ada ,Tidak Tersedia,-6.8797586,107.5300327,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
