nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami' Mutiara Darussalam,Masjid,"Unnamed Road, Pancoran Mas, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16436",Buka 24 jam,"4,6",19,,Tidak Ada ,Tidak Tersedia,-6.4014156,106.8089392,Aksesibilitas Tersedia,[]
Masjid Jami' Ar-Rahim,Masjid,"Jl. Sawangan Permai, Pasir Putih, Kec. Sawangan, Kota Depok, Jawa Barat 16519",04.00 hingga 20.15,"4,8",436,"
0812-8030-8498",Ada,Tersedia,-6.4069155,106.7747913,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Agung Al-Muhajirin,Masjid,"JR48+C4W, Jl. Nusantara Raya No.313, Depok Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432",04.00 hingga 19.46,"4,7",829,,Tidak Ada ,Tidak Tersedia,-6.3942298,106.8147066,Aksesibilitas Tersedia,[]
Masjid Jami' Nurul Huda,Masjid,"Jl. Rapika No.49, Rangkapan Jaya Baru, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16434",Buka 24 jam,"4,7",11,"
0896-9791-0142",Ada,Tidak Tersedia,-6.4066,106.7837606,Aksesibilitas Tersedia,[]
"Masjid Jami' Al-Ikhlash, Depok Maharaja",Masjid,"Masjid Al-Ikhlash, Jl. Perumahan Depok Maharaja Blok P8/30, RT 002/012, Rangkapan Jaya, Pancoran Mas, Depok City, West Java 16435",Buka 24 jam,"4,8",93,"
0857-1134-9567",Ada,Tidak Tersedia,-6.4073279,106.7942387,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Al-Mujahidin,Masjid,"Jl. Kh. Ahmad Dahlan No.8, Kukusan, Kecamatan Beji, Kota Depok, Jawa Barat 16425",04.00 hingga 21.15,"4,8",319,,Tidak Ada ,Tidak Tersedia,-6.3660351,106.8152132,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Huda,Masjid,"JQ5X+3C2, Mampang, Kec. Pancoran Mas, Kota Depok, Jawa Barat",04.00 hingga 21.15,"4,8",38,,Tidak Ada ,Tidak Tersedia,-6.3923625,106.7985156,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Muttaqien Limo-Depok,Masjid,"Jl. Naman Iskandar No.1, Limo, Kec. Limo, Kota Depok, Jawa Barat 16514",04.00 hingga 20.15,"4,8",533,,Tidak Ada ,Tidak Tersedia,-6.3603258,106.7762997,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Fath,Masjid,"HRWG+MRV, Jl. Depok Sari, Pancoran Mas, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Buka 24 jam,"4,9",75,"
0815-7258-1700",Ada,Tidak Tersedia,-6.4032598,106.8270374,Aksesibilitas Tersedia,[]
Masjid Jami' Baiturrahman,Masjid,"Jl. Baru Plenongan Gg. Masjid No.54, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",04.00 hingga 21.15,"4,8",195,,Tidak Ada ,Tidak Tersedia,-6.390566,106.8194832,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Darul Ilmi,Masjid,"Poltek Negeri Jakarta, Jalan, Kukusan, Beji, Depok City, West Java 16425",03.30 hingga 21.30,"4,7",118,,Tidak Ada ,Tersedia,-6.3717772,106.8229353,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Assa'adah,Masjid,"Jl. Setu Baru No.53, Sukmajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412",Buka 24 jam,"4,9",49,"
(021) 8712525",Ada,Tidak Tersedia,-6.4155445,106.8432038,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' At-Taubah,Masjid,"JQ6P+HMC, Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat",04.00 hingga 21.15,"4,8",34,,Tidak Ada ,Tidak Tersedia,-6.3885625,106.7866406,Aksesibilitas Tersedia,[]
Masjid Raya Cinere,Masjid,"Jl. Flamboyan No.4, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514",03.30 hingga 21.30,"4,8",703,,Tidak Ada ,Tidak Tersedia,-6.341434,106.7800324,Aksesibilitas Tersedia,[]
Masjid Jami' Kantor Walikota Depok,Masjid,"Jl. Margonda Raya No.54, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,5",53,,Tidak Ada ,Tidak Tersedia,-6.3933264,106.8217539,Aksesibilitas Tersedia,[]
Masjid Jami' Akmaliah,Masjid,"HQF5+R5P, Jl. Anggrek Raya, Pengasinan, Kec. Sawangan, Kota Depok, Jawa Barat 16518",Buka 24 jam,"4,7",193,,Tidak Ada ,Tidak Tersedia,-6.4254221,106.7579682,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Marjan,Masjid,"HRF7+MMQ, Jl. Raya Citayam Permata, Ratu Jaya, Kec. Cipayung, Kota Depok, Jawa Barat 16439",Buka 24 jam,"4,8",376,"
0851-2801-7081",Ada,Tidak Tersedia,-6.4257756,106.814249,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' Al-Qalam,Masjid,"Jl. Pemuda No.41, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",04.00 hingga 21.15,"4,7",148,"
(021) 7753433",Ada,Tidak Tersedia,-6.4019075,106.8228386,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Ikhlas,Masjid,"Jl. Cinere Raya No.39, RT.3/RW.10, Rangkapan Jaya Baru, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16434",Buka 24 jam,"4,8",397,"
(021) 77882763",Ada,Tidak Tersedia,-6.3928327,106.7693491,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Imarot,Masjid,"JR82+3F7, Mampang, Depok, Kota Depok, Jawa Barat 16433",04.00 hingga 22.00,"4,6",16,"
0857-7400-8876",Ada,Tidak Tersedia,-6.3848294,106.8011611,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Hasanah,Masjid,"Jl. Raya Sawangan No.51, Pancoran Mas, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16436","03.30 hingga 05.00,05.30 hingga 07.30,11.30 hingga 12.30","4,6",252,"
0855-1193-285",Ada,Tidak Tersedia,-6.3971435,106.8055177,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Hidayah,Masjid,"Kp stangkle Rt No.01, RT.01/RW.06, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",04.00 hingga 21.00,"4,8",18,,Tidak Ada ,Tidak Tersedia,-6.3790657,106.8280362,Aksesibilitas Tersedia,[]
