nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami' Suhara,Masjid,"3W39+H77, Sindangsari, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43167",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.946092,106.9181611,Aksesibilitas Tersedia,[]
MASJID ALMULK Masjid Peradaban Islam,Masjid,"Sudajaya Hilir, Kec. Baros, Kota Sukabumi, Jawa Barat 43161",Buka 24 jam,"4,7",63,"
0857-9486-0994",Ada,Tidak Tersedia,-6.9493546,106.925042,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Qubatulmu'minin,Masjid,"2VXV+9PH, Gn. Guruh, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156",,"3,7",3,,Tidak Ada ,Tidak Tersedia,-6.9515642,106.8943719,Aksesibilitas Tersedia,[]
Masjid Muhanna Al-Muhanna,Masjid,"3W5J+JCV, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",Buka 24 jam,"4,8",10,"
0813-1204-1750",Ada,Tidak Tersedia,-6.9408783,106.9310517,Aksesibilitas Tersedia,[]
Masjid Al-Istiqomah,Masjid,"Jl. Raya Cemerlang No.42-48, Dayeuhluhur, Kec. Warudoyong, Kabupaten Sukabumi, Jawa Barat 43134",,,,,Tidak Ada ,Tidak Tersedia,-6.9473234,106.9120477,Aksesibilitas Tersedia,[]
Masjid Al Ikhlas,Masjid,"3WHM+93F, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",,"4,7",25,,Tidak Ada ,Tidak Tersedia,-6.9215513,106.9326687,Aksesibilitas Tersedia,[]
Masjid Jami Al-Muhajirin,Masjid,"Perumahan Bumi Purnawira, RW. 05, Cipanengah, Lembursitu, Cipanengah, Sukabumi, Kota Sukabumi, Jawa Barat 43134",04.00 hingga 21.15,"4,6",47,,Tidak Ada ,Tidak Tersedia,-6.9636889,106.9087566,Aksesibilitas Tersedia,[]
Masjid Ibnu Sina,Masjid,"3WHV+FR7, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",Buka 24 jam,"4,5",28,,Tidak Ada ,Tidak Tersedia,-6.9213301,106.9445449,Aksesibilitas Tersedia,[]
Masjid Makaarimul Akhlaq,Masjid,"3W47+9MX, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",Buka 24 jam,"4,9",69,,Tidak Ada ,Tidak Tersedia,-6.9440125,106.9142344,Aksesibilitas Tersedia,[]
Masjid Raya Al-Muttaqin,Masjid,"3WQF+VPQ, Komplek Setukpa Polri, Jl. Bhayangkara, Karamat, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43122",Buka 24 jam,"4,8",211,,Tidak Ada ,Tidak Tersedia,-6.9102967,106.9243691,Aksesibilitas Tersedia,[]
Masjid/Mushollah,Masjid,"2WV4+WWG, Cipanengah, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43134",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9551822,106.9073194,Aksesibilitas Tersedia,[]
Masjid AL MUNAJAT,Masjid,"3W3F+XGW, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9450025,106.9238158,Aksesibilitas Tersedia,[]
Masjid Raya Baiturrahim,Masjid,"2WXJ+92R, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",Buka 24 jam,"4,8",331,,Tidak Ada ,Tidak Tersedia,-6.9515221,106.9300077,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Falah,Masjid,"2WRQ+4C2, Sukakarya, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43135",,"5,0",10,,Tidak Ada ,Tidak Tersedia,-6.9597482,106.9385261,Aksesibilitas Tersedia,[]
Masjid Al-Jannatulbaiti Sudarsih,Masjid,"3W46+V9G, Jl. Sejahtera kp.pasirkaliki, RT.01/RW.20, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,"4,0",1,"
0857-2433-2641",Ada,Tidak Tersedia,-6.9428017,106.910955,Aksesibilitas Tersedia,[]
Masjid Nurul Huda,Masjid,"3W36+382, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,,,,Tidak Ada ,Tidak Tersedia,-6.9473719,106.9107688,Aksesibilitas Tersedia,[]
Masjid Al-barokah,Masjid,"3W4F+RQ9, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.9429633,106.9244938,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Amal,Masjid,"3W7P+V28, Gg. Moh. Nurul Amal, Nanggeleng, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43145",,"4,9",15,,Tidak Ada ,Tidak Tersedia,-6.9353465,106.9350848,Aksesibilitas Tersedia,[]
Masjid Al-Amanah,Masjid,"Jl. Kenari No.2, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",Buka 24 jam,"4,9",9,,Tidak Ada ,Tidak Tersedia,-6.9145847,106.9300793,Aksesibilitas Tersedia,[]
Masjid Bahrul Ulum,Masjid,"3W6J+9FF, Jl. RH. Didi Sukardi, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",Buka 24 jam,"4,8",43,,Tidak Ada ,Tidak Tersedia,-6.9390659,106.9311563,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid/Mushollah Lembur Tipar,Masjid,"2VPR+GMJ, Jl. Lembur Situ, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"3,0",1,,Tidak Ada ,Tidak Tersedia,-6.9636593,106.891629,Aksesibilitas Tersedia,[]
