nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Agung Mangunreja,Masjid,"J4M2+WJ2, Jl. Garut - Tasikmalaya, Mangunreja, Kec. Mangunreja, Kabupaten Tasikmalaya, Jawa Barat 46462",Buka 24 jam,"4,6",373,,Tidak Ada ,Tidak Tersedia,-7.3652334,108.1015252,Aksesibilitas Tersedia,[]
Masjid At-Tiyah,Masjid,"Q55Q+PX6, Dawagung, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155",Buka 24 jam,"4,7",185,,Tidak Ada ,Tidak Tersedia,-7.2407043,108.189894,Aksesibilitas Tersedia,[]
Masjid Al Falah,Masjid,"Jl. Pacul No.06/11, Babakan Sari, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40283",,"4,8",15,,Tidak Ada ,Tidak Tersedia,-6.9203896,107.6520497,Aksesibilitas Tersedia,[]
Masjid Aisyah,Masjid,"Jl. Ir. H. Juanda No.39, Bantarsari, Kec. Bungursari, Kab. Tasikmalaya, Jawa Barat 46151",04.00 hingga 20.00,"4,7",328,,Tidak Ada ,Tidak Tersedia,-7.3222858,108.1979833,Aksesibilitas Tersedia,[]
Masjid Besar Kawalu,Masjid,"J695+78M, Jl. Perintis Kemerdekaan, Karsamenak, Kec. Kawalu, Kab. Tasikmalaya, Jawa Barat 46182",,"4,6",487,,Tidak Ada ,Tidak Tersedia,-7.3817761,108.2083037,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Miftahul Manan,Masjid,"3MW4+PCP, Jl. Kaum, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40282",,"4,3",23,,Tidak Ada ,Tidak Tersedia,-6.9031698,107.6560744,Aksesibilitas Tersedia,[]
Masjid Agung Ciawi,Masjid,"R4RW+HJG, Jalan Raya, Ciawi, Tasikmalaya Regency, West Java 46156",Buka 24 jam,"4,8",286,,Tidak Ada ,Tidak Tersedia,-7.1585501,108.1465883,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Besar Ciparay,Masjid,"Jl. Paledang No.3, Pakutandang, Kec. Ciparay, Kabupaten Bandung, Jawa Barat 40381",04.00 hingga 21.15,"4,8",157,"
0851-3434-5876",Ada,Tidak Tersedia,-7.0358929,107.7128959,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Agung Kota Tasikmalaya,Masjid,"Jl. Mesjid Agung No.01, Yudanagara, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46121",Buka 24 jam,"4,8",10.988,,Tidak Ada ,Tidak Tersedia,-7.3261021,108.2199555,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
MASJID AL ISHLAH | Asia Plaza,Masjid,"M658+766, Tuguraja, Kec. Cihideung, Kab. Tasikmalaya, Jawa Barat 46125",Buka 24 jam,"4,6",599,,Tidak Ada ,Tidak Tersedia,-7.3418357,108.2155098,Aksesibilitas Tersedia,[]
