nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Al-Lathiif,Masjid,"Jl. Saninten No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat",Buka 24 jam,"4,9",3.868,,Tidak Ada,Tidak Tersedia,-6.9080632,107.6278676,Aksebilitas Cukup,1
Masjid Baitul Ilmi BRIN Bandung,Masjid,"Komplek LIPI, Jl. Sangkuriang, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat",,"4,7",271.0,,Tidak Ada,Tidak Tersedia,-6.8820692,107.6107097,Tidak Tersedia,0
Menara Masjid Raya Bandung,Bangunan Bersejarah,"Jl. Dalem Kaum, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat",10.00 hingga 16.00,"4,5",515.0,,Ada,Tersedia,-6.9214028,107.6067059,Aksebilitas Cukup,1
Masjid Dzarratul Ulum Batan Bandung,Masjid,"Jl. Tamansari, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat",,"4,9",118.0,,Ada,Tidak Tersedia,-6.8885852,107.6078735,Tidak Tersedia,0
Masjid Ar Rahman Haur Kuning Bandung,Masjid,"Jl. Haurkuning, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",Buka 24 jam,"5,0",43.0,,Ada,Tidak Tersedia,-6.9213475,107.6154329,Tidak Tersedia,0
Masjid Ar-Rahmah Sukarjin 2,Masjid,"Jl. Sukarajin II No.12, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",,"4,5",10.0,,Tidak Ada,Tidak Tersedia,-6.9023134,107.6391406,Tidak Tersedia,0
Masjid Al Hikmah,Masjid,"Jl. Purnawarman No.7d, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",,"4,7",59.0,,Tidak Ada,Tidak Tersedia,-6.909416,107.6093677,Tidak Tersedia,0
Masjid Al Ikhlas,Masjid,"Ps. Cikapundung, Jl. ABC No.117, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",Buka 24 jam,"4,7",18.0,,Tidak Ada,Tidak Tersedia,-6.9191833,107.6083943,Tidak Tersedia,0
Masjid An - Nuur,Masjid,"Jl. Lembong, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",,"4,8",29.0,,Tidak Ada,Tidak Tersedia,-6.9166638,107.6116043,Tidak Tersedia,0
Masjid Miftahul Iman,Masjid,"Jl. Cikutra Gg. Sukasari I No.36A 04, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat",,"4,4",9.0,,Tidak Ada,Tidak Tersedia,-6.8990312,107.6427974,Tidak Tersedia,0
Masjid Salman ITB,Masjid,"Jl. Ganesa No.7, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat",Buka 24 jam,"4,9",17.377,,Ada,Tersedia,-6.8937059,107.6111822,Aksebilitas Lengkap,3
Masjid Jami Al - Mubarok,Masjid,"Jl. Awi Bitung, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",,"4,6",30.0,,Tidak Ada,Tidak Tersedia,-6.9081209,107.6385076,Tidak Tersedia,0
Masjid Al Latif,Masjid,"Jl. Maleer IV No.36a, RT.4/RW.2, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat",,"4,9",50.0,,Tidak Ada,Tidak Tersedia,-6.9276633,107.6395952,Tidak Tersedia,0
Masjid Al Jihad,Masjid,"Jl. Garut No.1A, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat",,"4,6",40.0,,Tidak Ada,Tidak Tersedia,,,Tidak Tersedia,0
