nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Al-Istiqomah,Masjid,"3WH7+98V, Jl. Caringin Ngumbang, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",,"4,7",9,,Tidak Ada ,Tidak Tersedia,-6.9215225,106.9133084,Aksesibilitas Tersedia,[]
Masjid Arrobitoh,Masjid,"2WQW+47P, Baros, Kec. Baros, Kota Sukabumi, Jawa Barat 43161",,"4,6",12,,Tidak Ada ,Tidak Tersedia,-6.9621617,106.945694,Aksesibilitas Tersedia,[]
Masjid Kemenag Kab Sukabumi,Masjid,"2VRV+C64, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"4,7",29,"
0815-6330-3550",Ada,Tidak Tersedia,-6.9589809,106.8930632,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al Kautsar,Masjid,"3W9C+R22, Jl. Pabuaran, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43111",04.00 hingga 21.15,"5,0",11,,Tidak Ada ,Tidak Tersedia,-6.9304983,106.9200014,Aksesibilitas Tersedia,[]
Masjid Babusalam,Masjid,"Jl. Pelabuhan II, Kebonmanggu, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156",,"4,9",21,,Tidak Ada ,Tidak Tersedia,-6.9664949,106.8725728,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Ar-Rahma SMAN 1 Sukabumi,Masjid,"3W6H+MV6, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",06.00 hingga 17.25,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9385007,106.9298914,Aksesibilitas Tersedia,[]
Masjid Jami Al-Muqorrobin,Masjid,"3W5M+9FM, Jl. Letda T. Asmita, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",,"4,7",23,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami An Nawawi,Masjid,"3WHR+P4G, Gg. Samsitirta, Cisarua, Kec. Cikole, Kota Sukabumi, Jawa Barat 43115",,"4,9",15,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Al-Amanah,Masjid,"Jl. Kenari No.2, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",Buka 24 jam,"4,9",9,,Tidak Ada ,Tidak Tersedia,-6.9145847,106.9300793,Aksesibilitas Tersedia,[]
Masjid Baiturrahmah,Masjid,"Gg. Mutholib No.18, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",Buka 24 jam,"4,7",10,,Tidak Ada ,Tidak Tersedia,-6.9132321,106.9359501,Aksesibilitas Tersedia,[]
Masjid Al-Abrar,Masjid,"Gunungpuyuh, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43123",Buka 24 jam,"4,8",12,,Tidak Ada ,Tidak Tersedia,-6.915878,106.9159484,Aksesibilitas Tersedia,[]
Masjid AL-UMM Universitas Muhammadiyah Sukabumi,Masjid,"Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",04.00 hingga 21.15,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9194883,106.9338822,Aksesibilitas Tersedia,[]
