nama_tempat,alamat,rating,jumlah_review,stt_tlp,website,latitude,longitude,aksesibilitas,type_place_clean,kota_kabupaten,is_24_hours,open_time,close_time,operational_status,telepon_clean,skor_aksesibilitas,Label_akses
Masjid Al-Amanah,"Jl. Ruhana No.6, Kec. Lengkong","4,8",67.0,Tidak Ada,Tidak Tersedia,-6.9240612,107.6140377,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Baitul Ilmi BRIN Bandung,"Jl. Sangkuriang, Kecamatan Coblong","4,7",271.0,Tidak Ada,Tidak Tersedia,-6.8820692,107.6107097,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Dzarratul Ulum Batan Bandung,"Jl. Tamansari, Kecamatan Coblong","4,9",118.0,Tidak Ada,Tidak Tersedia,-6.8885852,107.6078735,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Hikmah,"Jl. Purnawarman No.7d, Kec. Sumur Bandung","4,7",59.0,Tidak Ada,Tidak Tersedia,-6.909416,107.6093677,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Jami Al - Mubarok,"Jl. Awi Bitung, Kec. Cibeunying Kidul","4,6",30.0,Tidak Ada,Tidak Tersedia,-6.9081209,107.6385076,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Latif,"Jl. Maleer IV No.36a, Kec. Batununggal","4,9",50.0,Tidak Ada,Tidak Tersedia,-6.9276633,107.6395952,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Jihad,"Jl. Garut No.1A, Kec. Batununggal","4,6",40.0,Tidak Ada,Tidak Tersedia,,,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid As Syuhada,"Jl. Brigadir Jend. Katamso No.15a, Kec. Cibeunying Kidul","4,8",63.0,Tidak Ada,Tidak Tersedia,-6.9054412,107.6313682,,Masjid,Kota Bandung,False,,,Tidak konsisten,,0,Tidak Tersedia
MASJID AL-IMTIYAAZ,"Jl. Anggrek Boulevard Jl. Khp Hasan Mustopa No.39-40, Kec. Cibeunying Kidul","4,7",783.0,Tidak Ada,Tersedia,-6.8993463,107.6526355,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Jami An Nuur,"Jl. Cikaso Sel. Gg. Bahagia, Kec. Cibeunying Kidul","4,7",48.0,Tidak Ada,Tidak Tersedia,-6.9113763,107.6342609,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Manar,"Jl. Puter No.5, Kecamatan Coblong","4,7",684.0,Ada,Tidak Tersedia,-6.8978684,107.6222824,,Masjid,Kota Bandung,False,,,Tidak diketahui,222507450.0,0,Tidak Tersedia
Masjid Jami Al - I'anah,"Jalan Jembar, Kec. Cibeunying Kidul","4,5",36.0,Tidak Ada,Tidak Tersedia,-6.9093414,107.6401051,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid As-Siraaj,"Jl. Kacapiring No.33, Kec. Batununggal","4,6",44.0,Tidak Ada,Tidak Tersedia,-6.9185567,107.6293971,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Agung Bandung,"Jl. Alun-Alun Timur, Kec. Regol","4,5",397.0,Tidak Ada,Tidak Tersedia,-6.921895,107.6067073,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,False,,,Tidak diketahui,,3,Aksesibilitas Cukup Lengkap
Masjid Al-Kasyafah,"Jl. Taman Pramuka No.178, Kec. Bandung Wetan","4,9",30.0,Tidak Ada,Tidak Tersedia,-6.9100547,107.6272235,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Baitul Huda,"Jl. Terusan Jakarta No.138, Kec. Antapani","5,0",268.0,Tidak Ada,Tidak Tersedia,-6.9134527,107.6579469,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Miftahul Hidayah,"Jl. Mangga, Kec. Bandung Wetan","4,7",609.0,Tidak Ada,Tidak Tersedia,-6.9140562,107.630918,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Baitush Sholihin Disdik Jabar,"Jl. Dr. Rajiman No.6, Kec. Cicendo","4,8",122.0,Tidak Ada,Tersedia,-6.9043854,107.6007776,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
